*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	315
Max./um	369.80
Min./um	6.85
Mean/um	98.29
No.	Particle size/um
1	85.81	
2	63.36	
3	99.82	
4	96.44	
5	172.81	
6	64.48	
7	107.28	
8	81.43	
9	73.73	
10	67.19	
11	113.05	
12	57.67	
13	78.74	
14	49.68	
15	226.14	
16	75.06	
17	86.42	
18	70.79	
19	72.38	
20	60.68	
21	60.88	
22	123.27	
23	78.96	
24	114.48	
25	86.54	
26	66.50	
27	106.67	
28	128.94	
29	78.74	
30	85.96	
31	111.73	
32	149.43	
33	158.25	
34	91.58	
35	53.15	
36	112.28	
37	61.52	
38	88.81	
39	148.78	
40	100.14	
41	54.58	
42	48.63	
43	91.58	
44	244.61	
45	93.85	
46	123.52	
47	119.03	
48	113.09	
49	110.45	
50	78.11	
51	105.60	
52	91.16	
53	108.72	
54	194.51	
55	141.67	
56	32.37	
57	94.64	
58	107.34	
59	77.20	
60	115.32	
61	97.64	
62	99.36	
63	66.78	
64	30.76	
65	93.85	
66	6.85	
67	62.04	
68	131.82	
69	45.98	
70	55.91	
71	43.34	
72	65.01	
73	28.91	
74	136.94	
75	119.53	
76	56.25	
77	85.84	
78	68.54	
79	80.60	
80	90.56	
81	87.82	
82	51.36	
83	104.37	
84	37.02	
85	76.59	
86	81.41	
87	33.00	
88	47.87	
89	56.49	
90	56.34	
91	39.97	
92	52.17	
93	229.25	
94	211.12	
95	168.56	
96	128.31	
97	239.39	
98	195.07	
99	188.20	
100	146.38	
101	184.16	
102	304.35	
103	132.34	
104	151.24	
105	85.15	
106	119.22	
107	130.04	
108	126.60	
109	148.13	
110	114.44	
111	123.98	
112	79.51	
113	74.14	
114	119.68	
115	125.82	
116	113.01	
117	119.70	
118	239.03	
119	103.71	
120	80.97	
121	106.25	
122	133.62	
123	110.70	
124	119.68	
125	33.00	
126	72.83	
127	178.27	
128	151.39	
129	147.89	
130	156.55	
131	111.57	
132	99.68	
133	113.04	
134	114.03	
135	70.54	
136	133.49	
137	65.15	
138	65.15	
139	73.80	
140	8.67	
141	52.18	
142	73.82	
143	55.51	
144	104.03	
145	41.68	
146	50.73	
147	49.89	
148	43.56	
149	91.12	
150	32.57	
151	28.25	
152	96.23	
153	54.56	
154	145.59	
155	87.11	
156	76.12	
157	50.53	
158	106.38	
159	106.20	
160	126.19	
161	284.82	
162	96.78	
163	298.70	
164	123.55	
165	107.98	
166	128.31	
167	128.87	
168	123.28	
169	225.40	
170	106.40	
171	90.20	
172	69.89	
173	212.80	
174	193.78	
175	206.95	
176	49.89	
177	36.90	
178	55.15	
179	23.34	
180	46.06	
181	70.53	
182	82.99	
183	85.84	
184	99.23	
185	80.22	
186	86.28	
187	250.99	
188	246.46	
189	134.94	
190	369.80	
191	30.79	
192	40.30	
193	253.59	
194	220.00	
195	129.16	
196	249.12	
197	165.19	
198	95.92	
199	160.83	
200	51.01	
201	62.88	
202	148.30	
203	151.22	
204	109.86	
205	56.26	
206	46.78	
207	34.26	
208	33.15	
209	68.86	
210	40.30	
211	37.90	
212	28.91	
213	80.20	
214	145.37	
215	90.12	
216	54.56	
217	117.07	
218	28.91	
219	83.23	
220	154.60	
221	86.28	
222	34.25	
223	174.22	
224	49.90	
225	45.56	
226	95.17	
227	95.95	
228	63.76	
229	57.83	
230	105.52	
231	43.56	
232	51.00	
233	49.42	
234	37.03	
235	47.96	
236	63.11	
237	61.35	
238	62.04	
239	52.37	
240	33.00	
241	159.39	
242	126.00	
243	39.24	
244	26.00	
245	91.99	
246	89.51	
247	122.59	
248	65.53	
249	68.86	
250	60.19	
251	34.94	
252	79.08	
253	66.02	
254	64.66	
255	56.26	
256	63.19	
257	32.58	
258	28.25	
259	38.76	
260	19.62	
261	34.94	
262	24.71	
263	46.77	
264	23.33	
265	37.02	
266	54.29	
267	48.45	
268	52.36	
269	43.33	
270	117.34	
271	100.04	
272	89.35	
273	65.59	
274	75.70	
275	100.21	
276	73.66	
277	60.22	
278	66.02	
279	81.60	
280	97.53	
281	36.91	
282	67.50	
283	75.70	
284	94.62	
285	92.21	
286	108.67	
287	58.32	
288	84.54	
289	128.61	
290	84.78	
291	73.57	
292	80.63	
293	80.44	
294	126.11	
295	100.21	
296	89.50	
297	111.06	
298	98.52	
299	145.59	
300	148.26	
301	86.74	
302	93.78	
303	138.87	
304	117.95	
305	168.53	
306	239.06	
307	143.08	
308	158.31	
309	55.26	
310	146.67	
311	161.02	
312	156.26	
313	151.24	
314	184.23	
315	190.35	
===============Statistical report===============
Distr./um	Mean/um	Amount	Freq.
6-42.4	24.2	37	11.75%
42.4-78.8	60.6	94	29.84%
78.8-115.2	97	92	29.21%
115.2-151.6	133.4	52	16.51%
151.6-188	169.8	16	5.08%
188-224.4	206.2	9	2.86%
224.4-260.8	242.6	11	3.49%
260.8-297.2	279	1	0.32%
297.2-333.6	315.4	2	0.63%
333.6-370	351.8	1	0.32%
********************************************************
 
