*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	242
Max./um	1364.65
Min./um	59.91
Mean/um	335.65
No.	Particle size/um
1	461.14	
2	222.89	
3	154.52	
4	332.19	
5	464.94	
6	254.36	
7	184.14	
8	134.01	
9	150.33	
10	478.37	
11	90.43	
12	190.03	
13	117.41	
14	567.85	
15	170.62	
16	231.55	
17	381.69	
18	620.74	
19	697.38	
20	300.35	
21	629.88	
22	472.62	
23	149.62	
24	486.17	
25	1364.65	
26	581.71	
27	1042.67	
28	213.75	
29	226.06	
30	474.79	
31	1058.80	
32	640.96	
33	357.33	
34	210.13	
35	535.08	
36	402.37	
37	436.82	
38	162.15	
39	204.03	
40	347.69	
41	374.32	
42	245.20	
43	363.60	
44	97.35	
45	170.80	
46	998.00	
47	1114.08	
48	198.38	
49	242.99	
50	263.80	
51	268.88	
52	331.66	
53	506.03	
54	179.78	
55	478.37	
56	178.34	
57	117.54	
58	148.03	
59	275.48	
60	140.08	
61	431.61	
62	142.03	
63	204.93	
64	605.66	
65	386.38	
66	515.66	
67	107.57	
68	515.36	
69	206.45	
70	553.32	
71	152.09	
72	264.22	
73	556.36	
74	161.27	
75	1031.62	
76	378.63	
77	414.72	
78	473.26	
79	437.19	
80	414.21	
81	400.99	
82	176.82	
83	87.78	
84	432.20	
85	512.03	
86	420.75	
87	783.56	
88	284.47	
89	156.60	
90	381.29	
91	237.03	
92	216.00	
93	155.19	
94	602.52	
95	377.30	
96	238.63	
97	331.75	
98	229.41	
99	530.76	
100	333.03	
101	156.60	
102	632.13	
103	96.18	
104	59.91	
105	119.63	
106	206.81	
107	138.71	
108	833.35	
109	204.03	
110	324.00	
111	569.16	
112	118.69	
113	111.84	
114	401.48	
115	194.08	
116	355.85	
117	419.42	
118	347.05	
119	351.16	
120	207.57	
121	294.56	
122	532.65	
123	653.81	
124	548.58	
125	334.62	
126	458.90	
127	157.74	
128	173.02	
129	129.12	
130	202.56	
131	167.40	
132	186.19	
133	150.70	
134	121.69	
135	130.26	
136	110.65	
137	125.99	
138	302.83	
139	283.00	
140	189.69	
141	614.47	
142	378.45	
143	284.45	
144	143.65	
145	364.08	
146	204.38	
147	165.47	
148	159.14	
149	253.05	
150	439.35	
151	110.58	
152	109.52	
153	183.76	
154	299.55	
155	140.91	
156	562.90	
157	159.20	
158	98.10	
159	232.81	
160	108.30	
161	188.12	
162	196.24	
163	393.22	
164	366.52	
165	280.83	
166	370.79	
167	159.23	
168	312.29	
169	222.17	
170	150.55	
171	313.37	
172	108.58	
173	533.54	
174	626.63	
175	378.63	
176	108.82	
177	331.75	
178	262.66	
179	130.86	
180	605.98	
181	76.22	
182	338.03	
183	116.21	
184	217.52	
185	253.98	
186	213.59	
187	145.19	
188	302.13	
189	242.31	
190	166.13	
191	341.06	
192	273.73	
193	164.86	
194	498.15	
195	107.93	
196	222.11	
197	195.08	
198	305.66	
199	525.43	
200	166.03	
201	284.48	
202	204.59	
203	413.73	
204	421.51	
205	124.09	
206	518.29	
207	508.29	
208	497.21	
209	748.59	
210	653.99	
211	326.90	
212	388.93	
213	321.40	
214	103.44	
215	157.76	
216	144.65	
217	347.60	
218	649.67	
219	210.94	
220	276.68	
221	694.52	
222	603.33	
223	215.09	
224	635.13	
225	99.76	
226	403.58	
227	350.21	
228	273.72	
229	466.26	
230	674.62	
231	377.01	
232	358.90	
233	166.05	
234	308.07	
235	477.13	
236	201.59	
237	297.19	
238	728.59	
239	418.57	
240	386.58	
241	652.68	
242	375.58	
===============Statistical report===============
Distr./um	Mean/um	Amount	Freq.
59-189.6	124.3	70	28.93%
189.6-320.2	254.9	61	25.21%
320.2-450.8	385.5	52	21.49%
450.8-581.4	516.1	30	12.40%
581.4-712	646.7	19	7.85%
712-842.6	777.3	4	1.65%
842.6-973.2001	907.9	0	0.00%
973.2001-1103.8	1038.5	4	1.65%
1103.8-1234.4	1169.1	1	0.41%
1234.4-1365	1299.7	1	0.41%
********************************************************
 
