*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	284
Max./um	804.60
Min./um	49.05
Mean/um	273.19
No.	Particle size/um
1	132.56	
2	360.88	
3	526.85	
4	193.35	
5	481.78	
6	94.75	
7	49.05	
8	49.93	
9	117.96	
10	115.76	
11	158.49	
12	326.97	
13	189.80	
14	250.32	
15	242.09	
16	461.33	
17	187.12	
18	213.12	
19	318.35	
20	804.60	
21	240.01	
22	117.44	
23	348.47	
24	154.43	
25	248.28	
26	297.88	
27	71.66	
28	121.89	
29	287.05	
30	279.83	
31	192.06	
32	83.02	
33	215.71	
34	166.35	
35	98.41	
36	172.31	
37	280.72	
38	155.51	
39	302.96	
40	333.35	
41	254.91	
42	178.16	
43	221.54	
44	178.43	
45	194.03	
46	246.31	
47	306.27	
48	207.20	
49	381.09	
50	288.68	
51	314.67	
52	226.72	
53	178.27	
54	289.06	
55	263.14	
56	413.67	
57	315.74	
58	277.37	
59	275.27	
60	434.27	
61	432.72	
62	283.11	
63	595.38	
64	421.93	
65	333.36	
66	428.40	
67	351.87	
68	226.11	
69	139.06	
70	386.36	
71	437.37	
72	191.36	
73	365.15	
74	349.54	
75	299.98	
76	281.76	
77	163.27	
78	216.74	
79	372.36	
80	392.14	
81	183.31	
82	441.33	
83	468.55	
84	511.39	
85	478.58	
86	426.45	
87	441.09	
88	229.32	
89	261.95	
90	353.40	
91	443.18	
92	308.58	
93	434.21	
94	538.85	
95	462.17	
96	310.46	
97	269.12	
98	426.19	
99	361.60	
100	414.05	
101	354.92	
102	277.76	
103	371.24	
104	418.43	
105	276.70	
106	375.92	
107	350.48	
108	346.44	
109	120.72	
110	141.39	
111	192.28	
112	177.80	
113	317.74	
114	264.01	
115	270.20	
116	276.78	
117	224.38	
118	239.98	
119	410.95	
120	342.38	
121	143.48	
122	299.80	
123	383.48	
124	345.49	
125	206.96	
126	402.40	
127	357.32	
128	184.81	
129	120.77	
130	240.85	
131	178.68	
132	425.28	
133	428.54	
134	343.46	
135	424.17	
136	204.44	
137	325.93	
138	381.40	
139	274.31	
140	546.51	
141	588.65	
142	249.69	
143	420.14	
144	242.09	
145	213.04	
146	114.39	
147	368.29	
148	113.72	
149	240.05	
150	101.48	
151	83.05	
152	92.22	
153	362.99	
154	269.39	
155	123.62	
156	230.54	
157	380.93	
158	339.34	
159	66.48	
160	94.25	
161	362.64	
162	215.63	
163	121.20	
164	248.94	
165	143.08	
166	77.56	
167	185.67	
168	371.96	
169	216.95	
170	189.59	
171	189.80	
172	476.62	
173	275.44	
174	157.94	
175	216.91	
176	223.32	
177	294.62	
178	346.49	
179	257.54	
180	200.85	
181	245.37	
182	268.40	
183	464.85	
184	489.94	
185	288.64	
186	188.33	
187	211.72	
188	153.10	
189	186.30	
190	265.78	
191	175.14	
192	86.24	
193	174.04	
194	272.34	
195	153.66	
196	151.15	
197	143.68	
198	179.21	
199	305.04	
200	202.19	
201	164.03	
202	276.17	
203	178.38	
204	362.83	
205	98.04	
206	118.05	
207	107.36	
208	259.27	
209	433.45	
210	135.49	
211	172.03	
212	399.83	
213	288.71	
214	293.93	
215	286.96	
216	378.11	
217	157.94	
218	414.79	
219	247.74	
220	319.74	
221	211.98	
222	343.49	
223	257.08	
224	76.33	
225	110.82	
226	157.51	
227	225.44	
228	95.71	
229	129.66	
230	289.05	
231	120.93	
232	376.32	
233	166.36	
234	221.20	
235	245.49	
236	403.21	
237	119.81	
238	380.86	
239	270.06	
240	383.19	
241	145.57	
242	309.43	
243	196.75	
244	184.56	
245	410.79	
246	370.21	
247	283.19	
248	302.04	
249	407.62	
250	445.37	
251	432.44	
252	391.12	
253	119.82	
254	160.77	
255	259.71	
256	402.84	
257	295.00	
258	407.30	
259	275.27	
260	218.86	
261	354.91	
262	381.67	
263	294.08	
264	322.78	
265	191.08	
266	296.11	
267	252.21	
268	275.01	
269	356.26	
270	256.10	
271	277.41	
272	244.66	
273	371.73	
274	356.15	
275	242.85	
276	271.02	
277	163.39	
278	346.04	
279	119.69	
280	92.22	
281	372.83	
282	150.07	
283	288.13	
284	254.81	
===============Statistical report===============
Distr./um	Mean/um	Amount	Freq.
49-124.6	86.8	34	11.97%
124.6-200.2	162.4	53	18.66%
200.2-275.8	238	64	22.54%
275.8-351.4	313.6	55	19.37%
351.4-427	389.2	51	17.96%
427-502.6	464.8	20	7.04%
502.6-578.2	540.4	4	1.41%
578.2-653.8	616	2	0.70%
653.8-729.4	691.6	0	0.00%
729.4-805	767.2	1	0.35%
********************************************************
 
