*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	1000
Max./um	978.01
Min./um	1.51
Mean/um	65.51
No.	Particle size/um
1	70.48	
2	116.17	
3	112.47	
4	187.93	
5	45.86	
6	69.06	
7	226.72	
8	45.51	
9	69.69	
10	69.55	
11	105.79	
12	114.31	
13	45.34	
14	42.97	
15	288.35	
16	395.60	
17	41.48	
18	71.49	
19	48.68	
20	28.04	
21	129.86	
22	29.33	
23	64.88	
24	58.09	
25	36.15	
26	24.11	
27	21.58	
28	40.52	
29	287.15	
30	316.25	
31	80.30	
32	237.51	
33	80.85	
34	33.69	
35	61.78	
36	35.58	
37	70.54	
38	146.56	
39	88.14	
40	48.47	
41	315.82	
42	56.24	
43	41.03	
44	49.65	
45	52.87	
46	60.38	
47	37.68	
48	55.99	
49	49.63	
50	29.97	
51	24.12	
52	36.87	
53	511.96	
54	303.62	
55	279.76	
56	46.12	
57	61.76	
58	94.53	
59	58.28	
60	37.11	
61	58.04	
62	23.23	
63	96.57	
64	285.59	
65	36.74	
66	44.46	
67	37.68	
68	25.15	
69	19.29	
70	88.92	
71	86.76	
72	513.30	
73	498.51	
74	206.94	
75	116.55	
76	147.49	
77	189.69	
78	241.60	
79	188.74	
80	114.27	
81	407.62	
82	70.75	
83	49.39	
84	53.45	
85	49.83	
86	77.60	
87	23.34	
88	30.49	
89	47.18	
90	24.61	
91	70.48	
92	25.67	
93	36.45	
94	85.35	
95	55.52	
96	39.42	
97	53.73	
98	66.06	
99	43.57	
100	66.06	
101	226.75	
102	39.82	
103	60.41	
104	44.43	
105	18.07	
106	33.30	
107	32.58	
108	50.32	
109	21.87	
110	30.84	
111	677.80	
112	432.76	
113	197.28	
114	96.80	
115	40.85	
116	148.48	
117	101.37	
118	77.35	
119	59.36	
120	46.65	
121	30.39	
122	130.69	
123	374.88	
124	133.37	
125	257.92	
126	85.44	
127	324.59	
128	85.61	
129	43.74	
130	94.45	
131	274.74	
132	426.61	
133	19.63	
134	33.60	
135	23.72	
136	27.92	
137	40.40	
138	23.73	
139	40.55	
140	39.02	
141	45.29	
142	57.73	
143	50.59	
144	58.59	
145	51.13	
146	36.90	
147	103.50	
148	370.08	
149	75.53	
150	449.60	
151	27.31	
152	67.12	
153	24.94	
154	16.61	
155	27.77	
156	56.20	
157	46.87	
158	48.17	
159	269.75	
160	49.99	
161	37.84	
162	29.97	
163	99.86	
164	44.03	
165	48.35	
166	25.98	
167	47.67	
168	56.85	
169	258.95	
170	754.87	
171	61.92	
172	49.86	
173	54.71	
174	132.06	
175	60.13	
176	54.13	
177	634.20	
178	80.83	
179	76.31	
180	54.96	
181	32.42	
182	25.84	
183	47.68	
184	33.25	
185	64.00	
186	111.35	
187	38.50	
188	50.76	
189	35.54	
190	26.88	
191	75.51	
192	56.20	
193	78.56	
194	19.69	
195	51.43	
196	58.11	
197	55.94	
198	39.26	
199	52.67	
200	44.40	
201	52.12	
203	47.98	
204	53.43	
205	18.67	
206	23.63	
207	41.08	
208	29.32	
209	1.51	
210	58.73	
