*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	538
Max./um	797.46
Min./um	51.72
Mean/um	346.91
No.	Particle size/um
1	743.93	
2	594.66	
3	457.97	
4	391.47	
5	527.47	
6	675.15	
7	653.14	
8	455.94	
9	797.46	
10	497.19	
11	567.63	
12	406.79	
13	668.25	
14	554.93	
15	621.07	
16	777.82	
17	504.20	
18	297.22	
19	451.04	
20	472.81	
21	399.37	
22	420.24	
23	379.57	
24	404.98	
25	757.73	
26	547.41	
27	491.99	
28	367.25	
29	468.75	
30	607.82	
31	570.01	
32	445.83	
33	394.18	
34	492.20	
35	345.16	
36	514.84	
37	697.78	
38	287.01	
39	733.69	
40	752.11	
41	706.07	
42	484.61	
43	468.69	
44	401.10	
45	443.31	
46	424.47	
47	441.71	
48	332.01	
49	557.78	
50	344.54	
51	227.72	
52	458.33	
53	473.43	
54	558.64	
55	405.31	
56	416.24	
57	142.60	
58	622.41	
59	466.95	
60	534.67	
61	381.88	
62	707.81	
63	491.77	
64	345.10	
65	319.44	
66	191.41	
67	503.53	
68	449.29	
69	298.94	
70	343.45	
71	442.08	
72	488.18	
73	474.08	
74	430.75	
75	508.22	
76	775.50	
77	557.63	
78	579.69	
79	529.40	
80	577.99	
81	473.49	
82	335.38	
83	538.84	
84	366.82	
85	466.64	
86	609.40	
87	268.14	
88	482.56	
89	490.22	
90	728.71	
91	474.92	
92	458.49	
93	322.54	
94	275.18	
95	474.71	
96	520.92	
97	543.18	
98	481.35	
99	309.78	
100	357.82	
101	474.00	
102	540.44	
103	381.03	
104	173.13	
105	427.06	
106	398.33	
107	470.54	
108	439.72	
109	382.13	
110	444.67	
111	436.41	
112	272.41	
113	568.63	
114	664.34	
115	411.22	
116	521.81	
117	315.13	
118	754.51	
119	491.71	
120	582.74	
121	558.02	
122	362.36	
123	302.31	
124	373.06	
125	101.75	
126	97.76	
127	99.52	
128	144.67	
129	51.72	
130	143.50	
131	61.28	
132	483.25	
133	120.14	
134	382.84	
135	151.85	
136	156.27	
137	427.22	
138	228.69	
139	455.13	
140	324.12	
141	148.82	
142	159.59	
143	434.27	
144	353.13	
145	432.98	
146	429.88	
147	291.88	
148	635.80	
149	151.52	
150	202.72	
151	223.08	
152	371.96	
153	298.79	
154	382.28	
155	290.76	
156	525.90	
157	554.31	
158	387.55	
159	484.41	
160	422.11	
161	185.17	
162	378.47	
163	511.58	
164	300.36	
165	227.87	
166	125.69	
167	293.78	
168	280.30	
169	479.73	
170	325.96	
171	158.15	
172	125.07	
173	281.05	
174	393.09	
175	196.59	
176	317.60	
177	427.56	
178	293.39	
179	405.50	
180	373.64	
181	496.57	
182	372.54	
183	110.82	
184	539.31	
185	176.89	
186	354.43	
187	244.04	
188	133.99	
189	204.44	
190	100.63	
191	357.18	
192	159.00	
193	185.26	
194	357.67	
195	133.14	
196	102.20	
197	139.90	
198	172.90	
199	106.51	
200	250.50	
201	381.03	
202	191.43	
203	262.41	
204	595.98	
205	492.42	
206	246.63	
207	344.83	
208	499.29	
209	442.03	
210	360.60	
211	434.41	
212	309.96	
213	415.62	
214	320.15	
215	702.13	
216	185.44	
217	176.19	
218	134.25	
219	225.78	
220	91.34	
221	385.77	
222	537.68	
223	336.23	
224	375.14	
225	477.87	
226	412.02	
227	277.25	
228	374.30	
229	260.97	
230	243.61	
231	251.18	
232	420.10	
233	531.29	
234	400.17	
235	363.03	
236	310.47	
237	250.04	
238	277.47	
239	248.77	
240	225.96	
241	366.18	
242	413.99	
243	539.02	
244	277.69	
245	186.10	
246	345.30	
247	383.27	
248	322.13	
249	380.19	
250	269.01	
251	537.49	
252	632.95	
253	264.24	
254	526.85	
255	402.45	
256	535.67	
257	312.54	
258	267.92	
259	272.38	
260	183.03	
261	198.92	
262	189.62	
263	249.60	
264	125.36	
265	212.38	
266	115.09	
267	352.36	
268	108.07	
269	248.35	
270	470.54	
271	608.29	
272	169.83	
273	392.46	
274	392.56	
275	129.60	
276	523.34	
277	367.60	
278	321.72	
279	445.18	
280	412.87	
281	494.27	
282	324.09	
283	421.43	
284	415.50	
285	291.00	
286	604.23	
287	389.87	
288	540.63	
289	543.40	
290	270.24	
291	180.12	
292	248.15	
293	293.39	
294	120.82	
295	295.88	
296	514.37	
297	495.71	
298	467.13	
299	208.15	
300	507.41	
301	347.71	
302	641.34	
303	363.43	
304	489.70	
305	239.13	
306	223.67	
307	280.85	
308	486.16	
309	322.09	
310	161.62	
311	271.29	
312	466.93	
313	479.62	
314	285.85	
315	254.85	
316	556.48	
317	459.36	
318	229.50	
319	491.66	
320	718.04	
321	650.16	
322	540.61	
323	677.90	
324	429.59	
325	492.30	
326	417.86	
327	135.34	
328	88.87	
329	120.69	
330	86.32	
331	69.50	
332	352.84	
333	179.47	
334	241.88	
335	288.59	
336	105.28	
337	285.19	
338	627.20	
339	282.59	
340	451.18	
341	501.83	
342	451.55	
343	454.90	
344	366.45	
345	393.31	
346	120.85	
347	319.43	
348	288.72	
349	270.01	
350	526.94	
351	190.58	
352	124.48	
353	190.19	
354	173.58	
355	96.92	
356	113.15	
357	219.91	
358	114.60	
359	113.84	
360	425.56	
361	295.84	
362	263.51	
363	387.64	
364	573.24	
365	509.49	
366	415.11	
367	395.41	
368	176.73	
369	167.91	
370	127.96	
371	147.22	
372	344.65	
373	150.64	
374	369.24	
375	208.06	
376	332.81	
377	361.48	
378	154.76	
379	252.65	
380	179.11	
381	235.66	
382	208.04	
383	372.05	
384	690.41	
385	371.60	
386	151.37	
387	438.90	
388	481.40	
389	620.34	
390	338.47	
391	424.46	
392	384.16	
393	536.12	
394	369.94	
395	604.32	
396	539.08	
397	570.34	
398	484.26	
399	169.22	
400	377.79	
401	241.11	
402	176.63	
403	274.83	
404	195.44	
405	346.14	
406	279.04	
407	308.12	
408	206.34	
409	313.29	
410	133.09	
411	283.19	
412	436.43	
413	353.58	
414	538.14	
415	673.99	
416	277.36	
417	433.54	
418	698.76	
419	705.13	
420	682.51	
421	513.18	
422	244.61	
423	158.48	
424	279.77	
425	331.98	
426	328.31	
427	242.22	
428	253.42	
429	207.49	
430	338.44	
431	373.60	
432	384.82	
433	298.88	
434	342.39	
435	412.38	
436	436.82	
437	426.79	
438	367.19	
439	489.31	
440	221.84	
441	332.60	
442	549.13	
443	490.84	
444	257.57	
445	360.52	
446	247.77	
447	309.85	
448	168.55	
449	128.17	
450	497.09	
451	244.30	
452	358.50	
453	149.44	
454	265.10	
455	186.12	
456	433.76	
457	322.97	
458	104.13	
459	323.54	
460	250.15	
461	176.79	
462	190.49	
463	244.98	
464	296.79	
465	244.61	
466	139.87	
467	513.67	
468	277.09	
469	238.24	
470	279.77	
471	398.95	
472	409.62	
473	632.39	
474	358.48	
475	207.95	
476	113.28	
477	356.55	
478	226.59	
479	260.89	
480	156.32	
481	99.40	
482	107.44	
483	113.73	
484	138.20	
485	132.19	
486	134.70	
487	115.34	
488	89.20	
489	151.84	
490	140.18	
491	123.19	
492	129.87	
493	302.74	
494	230.37	
495	144.67	
496	97.19	
