*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	404
Max./um	437.08
Min./um	2.69
Mean/um	139.36
No.	Particle size/um
1	178.49	
2	204.40	
3	196.87	
4	83.69	
5	131.87	
6	148.64	
7	113.17	
8	122.01	
9	121.52	
10	129.96	
11	179.53	
12	391.07	
13	158.65	
14	373.78	
15	349.40	
16	198.58	
17	218.10	
18	199.45	
19	182.88	
20	266.04	
21	137.23	
22	301.17	
23	177.38	
24	264.24	
25	156.23	
26	327.74	
27	402.95	
28	300.32	
29	364.72	
30	274.96	
31	257.38	
32	313.30	
33	213.01	
34	229.45	
35	127.30	
36	94.65	
37	398.84	
38	275.94	
39	408.25	
40	248.26	
41	111.97	
43	127.37	
44	355.81	
45	390.44	
46	246.98	
47	256.77	
48	241.92	
49	102.24	
50	82.83	
51	92.56	
52	214.83	
53	227.69	
54	245.37	
55	394.64	
56	166.35	
57	323.71	
58	144.97	
59	216.15	
60	307.05	
61	204.48	
62	255.08	
63	113.94	
64	200.66	
65	216.33	
66	263.23	
67	293.66	
68	293.15	
69	293.69	
70	169.67	
71	102.52	
72	131.61	
73	114.80	
74	343.55	
75	294.30	
76	261.78	
77	164.76	
78	83.85	
79	123.12	
80	109.16	
81	111.13	
82	222.32	
83	188.09	
84	213.82	
85	76.60	
86	64.90	
87	177.95	
88	170.43	
89	116.31	
90	91.47	
91	244.42	
92	183.30	
93	267.60	
94	174.88	
95	291.88	
96	316.37	
97	209.79	
98	335.69	
99	187.43	
100	221.60	
101	222.22	
102	109.16	
103	124.97	
104	206.38	
105	89.73	
106	124.39	
107	210.87	
108	131.57	
109	126.22	
110	165.99	
111	117.68	
112	91.80	
113	146.61	
114	145.03	
115	231.98	
116	117.77	
117	125.78	
118	135.22	
119	344.58	
120	171.18	
121	152.46	
122	249.16	
123	332.22	
124	125.84	
125	107.44	
126	106.20	
127	82.42	
128	140.10	
129	167.95	
130	176.79	
131	118.31	
132	164.28	
133	194.31	
134	227.15	
135	437.08	
136	42.10	
137	42.10	
138	125.04	
139	99.84	
140	101.67	
141	99.37	
142	94.91	
143	61.18	
144	76.15	
145	14.38	
146	78.80	
147	106.82	
148	157.80	
149	122.38	
150	75.47	
151	69.10	
152	143.57	
153	177.46	
154	133.36	
155	77.38	
156	102.93	
157	111.42	
158	88.96	
159	94.94	
160	88.76	
161	181.35	
162	123.76	
163	137.51	
164	94.87	
165	120.80	
166	106.14	
167	169.09	
168	118.16	
169	86.84	
170	94.94	
171	101.16	
172	130.62	
173	74.07	
174	165.41	
175	160.65	
176	128.37	
177	123.71	
178	140.56	
179	85.19	
180	128.21	
181	106.63	
182	62.74	
183	51.06	
184	50.03	
185	42.04	
186	54.74	
187	85.16	
188	209.55	
189	38.86	
190	71.14	
191	78.80	
192	228.89	
193	136.85	
194	175.77	
195	184.06	
196	170.70	
197	159.57	
198	76.89	
199	40.16	
200	157.74	
201	68.25	
202	89.83	
203	117.68	
204	109.28	
205	82.07	
206	101.20	
207	140.88	
208	69.10	
209	221.31	
210	333.97	
211	71.57	
212	82.00	
213	82.00	
214	83.64	
215	78.87	
216	73.45	
217	118.86	
218	32.73	
219	105.10	
220	114.59	
221	95.53	
222	44.83	
223	34.43	
224	107.54	
225	86.92	
226	70.21	
227	106.76	
228	123.96	
229	125.63	
230	102.56	
231	112.92	
232	98.57	
233	148.72	
234	111.08	
235	87.15	
236	111.08	
237	215.61	
238	182.93	
239	195.57	
240	106.72	
241	126.37	
242	74.94	
243	73.99	
244	54.48	
245	323.69	
246	64.08	
247	84.58	
248	130.70	
249	100.56	
250	175.13	
251	100.55	
252	98.01	
253	65.90	
254	96.43	
255	176.51	
256	87.63	
257	89.76	
258	103.47	
259	63.47	
260	135.56	
261	60.67	
262	73.02	
263	185.99	
264	46.31	
265	76.70	
266	70.07	
267	28.64	
268	29.15	
269	34.30	
270	48.58	
271	46.13	
272	78.34	
273	55.54	
274	43.45	
275	30.72	
276	45.88	
277	43.10	
278	24.41	
279	49.68	
280	64.89	
281	141.41	
282	62.03	
283	75.51	
284	71.58	
285	58.18	
286	56.07	
287	86.78	
288	105.64	
289	55.29	
290	66.71	
291	93.84	
292	109.67	
293	38.11	
294	124.39	
295	56.07	
296	81.93	
297	78.55	
298	114.46	
299	54.15	
300	45.80	
301	69.54	
302	84.36	
303	247.43	
304	130.13	
305	2.69	
306	117.10	
307	157.09	
308	5.39	
309	110.10	
310	157.86	
311	130.96	
312	84.18	
313	92.16	
314	100.90	
315	112.82	
316	46.36	
317	143.17	
318	71.74	
319	85.96	
320	99.08	
321	97.19	
322	358.59	
323	182.37	
324	51.12	
325	109.94	
326	126.70	
327	86.27	
328	100.98	
329	51.82	
330	60.24	
331	91.46	
332	93.84	
333	97.66	
334	178.13	
335	77.15	
336	68.00	
337	43.44	
338	44.19	
339	81.95	
340	66.67	
341	140.52	
342	61.99	
343	96.16	
344	77.06	
345	107.56	
346	207.18	
347	104.81	
348	114.62	
349	81.47	
350	67.56	
351	67.52	
352	122.00	
353	125.98	
354	143.67	
355	139.42	
356	81.95	
357	60.55	
358	240.80	
359	166.64	
360	213.25	
361	153.13	
362	136.90	
363	208.45	
364	125.39	
365	211.68	
366	126.31	
367	152.31	
368	226.29	
369	170.60	
370	114.89	
371	104.95	
372	61.96	
373	77.06	
374	70.05	
375	102.61	
376	60.97	
377	68.70	
378	67.35	
379	47.14	
380	32.45	
381	54.95	
382	47.14	
383	93.71	
384	83.92	
385	46.04	
386	110.77	
387	57.85	
388	124.97	
389	112.15	
390	149.07	
391	298.32	
392	226.59	
393	331.78	
394	162.20	
395	108.61	
396	90.02	
397	125.76	
398	220.26	
399	157.74	
400	202.45	
401	196.87	
402	149.09	
403	104.29	
404	190.56	
405	285.91	
===============Statistical report===============
Distr./um	Mean/um	Amount	Freq.
2-45.6	23.8	22	5.45%
45.6-89.2	67.39999	103	25.50%
89.2-132.8	111	121	29.95%
132.8-176.4	154.6	52	12.87%
176.4-220	198.2	43	10.64%
220-263.6	241.8	25	6.19%
263.6-307.2	285.4	15	3.71%
307.2-350.8	329	12	2.97%
350.8-394.4	372.6	6	1.49%
394.4-438	416.2	5	1.24%
********************************************************

