*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	303
Max./um	766.76
Min./um	85.64
Mean/um	321.23
No.	Particle size/um
1	658.94	
2	564.67	
3	396.47	
4	303.01	
5	245.25	
6	470.61	
7	544.58	
8	424.92	
9	308.91	
10	406.27	
11	270.12	
12	556.50	
13	284.48	
14	282.34	
15	319.40	
16	264.14	
17	355.17	
18	472.89	
19	393.89	
20	383.92	
21	605.89	
22	411.82	
23	485.75	
24	766.76	
25	414.84	
26	611.58	
27	511.03	
28	234.74	
29	703.38	
30	454.86	
31	543.49	
32	491.94	
33	424.89	
34	512.10	
35	400.98	
36	388.03	
37	638.91	
38	509.42	
39	431.71	
40	368.07	
41	248.64	
42	284.97	
43	450.24	
44	564.36	
45	442.28	
46	336.51	
47	328.73	
48	417.95	
49	461.79	
50	240.42	
51	581.07	
52	262.65	
53	364.60	
54	552.76	
55	441.80	
56	424.05	
57	420.46	
58	208.18	
59	479.36	
60	366.12	
61	434.40	
62	103.69	
63	274.84	
64	165.76	
65	165.15	
66	176.06	
67	400.40	
68	258.08	
69	328.06	
70	200.65	
71	323.49	
72	322.09	
73	395.77	
74	414.84	
75	404.67	
76	237.89	
77	308.13	
78	405.77	
79	555.34	
80	503.64	
81	260.70	
82	471.45	
83	340.00	
84	219.25	
85	242.97	
86	187.90	
87	270.06	
88	234.66	
89	231.27	
90	343.99	
91	329.51	
92	229.60	
93	336.40	
94	404.97	
95	362.97	
96	291.70	
97	204.97	
98	160.18	
99	268.65	
100	245.93	
101	274.41	
102	256.33	
103	366.52	
104	386.19	
105	327.06	
106	357.14	
107	409.62	
108	297.78	
109	392.17	
110	342.68	
111	281.30	
112	558.95	
113	524.75	
114	480.05	
115	364.10	
116	438.17	
117	306.97	
118	370.74	
119	270.74	
120	207.56	
121	256.92	
122	492.00	
123	558.28	
124	435.78	
125	189.94	
126	421.26	
127	417.82	
128	527.26	
129	343.59	
130	256.57	
131	388.54	
132	183.14	
133	335.62	
134	310.01	
135	388.63	
136	277.41	
137	401.30	
138	289.94	
139	349.20	
140	250.29	
141	375.08	
142	289.06	
143	216.73	
144	136.44	
145	213.06	
146	340.58	
147	218.65	
148	333.03	
149	279.87	
150	446.05	
151	242.54	
152	412.73	
153	270.34	
154	242.02	
155	198.89	
156	357.14	
157	284.97	
158	409.07	
159	272.42	
160	278.22	
161	239.56	
162	222.95	
163	191.43	
164	235.59	
165	354.15	
166	306.70	
167	575.69	
168	221.77	
169	297.48	
170	307.70	
171	264.28	
172	270.39	
173	186.96	
174	232.56	
175	365.30	
176	281.84	
177	392.82	
178	333.88	
179	515.63	
180	206.55	
181	282.29	
182	259.83	
183	525.58	
184	233.27	
185	311.60	
186	155.61	
187	467.96	
188	300.53	
189	164.40	
190	165.18	
191	129.46	
192	308.26	
193	378.00	
194	336.59	
195	309.98	
196	317.39	
197	291.31	
198	368.26	
199	452.28	
200	232.38	
201	311.81	
202	286.24	
203	260.68	
204	244.17	
205	322.49	
206	110.49	
207	281.30	
208	214.62	
209	264.52	
210	235.78	
211	164.25	
212	335.68	
213	301.46	
214	256.26	
215	163.67	
216	314.88	
217	139.09	
218	373.87	
219	335.03	
220	428.68	
221	289.62	
222	168.37	
223	433.29	
224	118.45	
225	85.64	
226	164.51	
227	131.49	
228	215.96	
229	105.34	
230	293.02	
231	128.04	
232	323.72	
233	434.25	
234	287.90	
235	321.91	
236	345.83	
237	354.75	
238	155.85	
239	391.82	
240	228.99	
241	187.34	
242	256.95	
243	275.66	
244	139.11	
245	194.73	
246	225.76	
247	267.14	
248	172.68	
249	195.92	
250	310.10	
251	126.01	
252	260.17	
253	179.41	
254	280.25	
255	148.91	
256	135.43	
257	180.62	
258	367.50	
259	383.90	
260	333.09	
261	336.57	
262	485.70	
263	222.77	
264	185.37	
265	185.37	
266	200.07	
267	242.00	
268	334.23	
269	264.39	
270	277.83	
271	711.94	
272	119.34	
273	107.04	
274	369.96	
275	154.47	
276	119.79	
277	288.96	
278	267.82	
279	112.65	
280	336.71	
281	422.33	
282	298.31	
283	278.41	
284	221.96	
285	264.15	
286	439.08	
287	329.80	
288	347.82	
289	357.18	
290	391.24	
291	377.56	
292	376.19	
293	164.67	
294	162.29	
295	121.72	
296	293.78	
297	191.20	
298	137.53	
299	371.97	
300	365.27	
301	312.54	
302	442.37	
303	591.64	
===============Statistical report===============
Distr./um	Mean/um	Amount	Freq.
85-153.2	119.1	20	6.60%
153.2-221.4	187.3	42	13.86%
221.4-289.6	255.5	73	24.09%
289.6-357.8	323.7	63	20.79%
357.8-426	391.9	52	17.16%
426-494.2	460.1	26	8.58%
494.2-562.4	528.3	15	4.95%
562.4-630.6	596.5	7	2.31%
630.6-698.8	664.7	2	0.66%
698.8-767	732.9	3	0.99%
********************************************************

