*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	236
Max./um	456.88
Min./um	12.01
Mean/um	109.18
No.	Particle size/um
1	167.01	
2	193.39	
3	151.57	
4	103.15	
5	144.35	
6	115.47	
7	65.38	
8	93.98	
9	52.96	
10	98.49	
11	59.45	
12	99.04	
13	107.45	
14	76.00	
15	52.76	
16	107.86	
17	60.35	
18	73.30	
19	127.33	
20	140.50	
21	153.80	
22	66.70	
23	87.34	
24	30.03	
25	123.18	
26	114.25	
27	188.56	
28	147.81	
29	78.97	
30	54.03	
31	84.26	
32	26.99	
33	84.07	
34	60.35	
35	69.29	
36	73.33	
37	125.27	
38	157.69	
39	79.84	
40	48.64	
41	120.35	
42	265.31	
43	110.12	
44	74.66	
45	104.44	
46	95.01	
47	229.93	
48	108.83	
49	78.21	
50	83.41	
51	81.96	
52	263.92	
53	207.04	
54	119.99	
55	456.88	
56	119.77	
57	65.38	
58	121.65	
59	100.53	
60	72.31	
61	159.08	
62	82.94	
63	99.80	
64	143.58	
65	188.21	
66	132.24	
67	194.57	
68	117.79	
69	68.84	
70	155.88	
71	60.76	
72	117.78	
73	118.92	
74	168.62	
75	205.88	
76	64.51	
77	261.38	
78	113.99	
79	90.04	
80	57.09	
81	84.92	
82	82.72	
83	68.00	
84	161.34	
85	91.83	
86	34.39	
87	55.35	
88	37.59	
89	76.00	
90	68.46	
91	70.90	
92	70.88	
93	35.01	
94	62.46	
95	100.55	
96	121.59	
97	199.54	
98	73.06	
99	183.59	
100	118.20	
101	84.92	
102	146.10	
103	163.29	
104	57.09	
105	106.91	
106	97.32	
107	152.65	
108	113.96	
109	146.31	
110	88.08	
111	64.95	
112	81.66	
113	87.14	
114	74.61	
115	143.03	
116	86.46	
117	74.07	
118	206.57	
119	76.00	
120	58.08	
121	60.88	
122	43.71	
123	61.81	
124	61.24	
125	45.65	
126	32.33	
128	107.92	
129	244.64	
130	96.80	
131	55.36	
132	166.47	
133	99.80	
134	85.32	
135	69.67	
136	38.72	
137	91.94	
138	92.76	
139	19.36	
140	12.01	
141	19.55	
142	97.05	
143	81.55	
144	42.46	
145	61.36	
146	103.60	
147	75.23	
148	103.60	
149	164.00	
150	106.94	
151	83.89	
152	138.72	
153	152.87	
154	60.05	
155	183.89	
156	55.30	
157	56.38	
158	20.97	
159	144.30	
160	55.10	
161	154.65	
162	49.51	
163	42.46	
164	46.90	
165	99.38	
166	69.85	
167	40.27	
168	52.88	
169	56.91	
170	35.82	
171	13.69	
172	54.38	
173	39.64	
174	93.66	
175	58.94	
176	88.67	
177	17.19	
178	24.31	
179	99.77	
180	45.89	
181	81.55	
182	68.81	
183	38.44	
184	84.26	
185	37.97	
186	113.99	
187	57.47	
188	90.08	
189	57.46	
190	132.96	
191	83.89	
192	67.30	
193	129.17	
194	84.31	
195	58.08	
196	82.71	
197	69.83	
198	46.34	
199	91.45	
200	71.49	
201	85.95	
202	52.15	
203	33.65	
204	42.46	
205	86.60	
206	71.50	
207	19.36	
208	64.49	
209	136.90	
210	101.89	
211	62.90	
212	106.36	
213	91.47	
214	96.86	
215	93.95	
216	111.77	
217	83.92	
218	122.70	
219	54.01	
220	70.03	
221	219.11	
222	390.25	
223	449.62	
224	330.62	
225	376.97	
226	354.44	
227	258.43	
228	182.52	
229	275.66	
230	244.88	
231	238.37	
232	124.90	
233	211.57	
234	291.40	
235	278.69	
236	151.94	
237	440.57	
===============Statistical report===============
Distr./um	Mean/um	Amount	Freq.
12-56.5	34.25	43	18.22%
56.5-101	78.75	101	42.80%
101-145.5	123.25	43	18.22%
145.5-190	167.75	23	9.75%
190-234.5	212.25	9	3.81%
234.5-279	256.75	9	3.81%
279-323.5	301.25	1	0.42%
323.5-368	345.75	2	0.85%
368-412.5	390.25	2	0.85%
412.5-457	434.75	3	1.27%
********************************************************

