*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	384
Max./um	512.91
Min./um	3.07
Mean/um	66.70
No.	Particle size/um
1	66.32	
2	53.65	
3	105.95	
4	30.42	
5	35.03	
6	123.71	
7	92.88	
8	263.62	
9	168.38	
10	73.43	
11	298.39	
12	70.36	
13	45.63	
14	79.39	
15	137.32	
16	58.96	
17	95.49	
18	192.39	
19	45.78	
20	157.55	
21	148.48	
22	51.37	
23	94.06	
24	38.78	
25	97.77	
26	79.06	
27	42.52	
28	52.19	
29	54.55	
30	74.44	
31	42.55	
32	132.48	
33	108.21	
34	166.17	
35	138.13	
36	54.50	
37	40.56	
38	512.91	
39	346.64	
40	88.67	
41	36.48	
42	52.63	
43	57.56	
44	43.08	
45	105.82	
46	126.53	
47	40.62	
48	31.15	
49	46.96	
50	36.48	
51	68.44	
52	41.73	
53	49.27	
54	93.33	
55	142.46	
56	115.50	
57	55.17	
58	220.74	
59	41.80	
60	81.19	
61	28.67	
62	153.31	
63	123.39	
64	52.57	
65	26.72	
66	93.33	
67	51.15	
68	35.85	
69	122.33	
70	32.50	
71	42.76	
72	29.18	
73	113.36	
74	46.40	
75	111.19	
76	78.03	
77	71.71	
78	127.22	
79	107.38	
80	37.41	
81	13.94	
82	125.46	
83	155.37	
84	258.20	
85	51.70	
86	65.23	
87	37.79	
88	87.66	
89	88.91	
90	88.94	
91	43.29	
92	38.51	
93	20.79	
94	30.92	
95	62.97	
96	72.38	
97	35.90	
98	38.81	
99	26.31	
100	71.17	
101	55.30	
102	62.68	
103	44.59	
104	54.32	
105	70.50	
106	151.47	
107	35.25	
108	34.59	
109	34.98	
110	112.83	
111	41.84	
112	47.01	
113	90.06	
114	69.10	
115	123.31	
116	126.44	
117	39.60	
118	8.06	
119	16.71	
120	76.08	
121	81.32	
122	59.48	
123	145.30	
124	39.60	
125	55.37	
126	29.91	
127	61.09	
128	46.15	
129	41.25	
130	72.10	
131	35.24	
132	35.25	
133	117.66	
134	94.03	
135	74.34	
136	22.29	
137	54.90	
138	99.59	
139	99.59	
140	62.39	
141	28.20	
142	42.30	
143	160.37	
144	111.95	
145	57.51	
146	178.36	
147	139.14	
148	19.65	
149	137.32	
150	89.25	
151	90.95	
152	23.79	
153	40.26	
154	62.12	
155	94.51	
156	13.12	
157	27.37	
158	45.77	
159	52.66	
160	62.23	
161	43.07	
162	64.55	
163	79.89	
