*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	368
Max./um	264.94
Min./um	7.82
Mean/um	47.92
No.	Particle size/um
1	186.48	
2	191.20	
3	251.09	
4	28.33	
5	133.42	
6	58.45	
7	39.69	
8	18.03	
9	31.35	
10	39.97	
11	47.13	
12	96.14	
13	35.53	
14	83.36	
15	47.44	
16	31.06	
17	39.56	
18	38.53	
19	39.20	
20	61.68	
21	118.86	
22	96.33	
23	29.17	
24	42.28	
25	29.94	
26	66.40	
27	17.23	
28	44.46	
29	51.31	
30	53.93	
31	45.35	
32	135.98	
33	33.46	
34	29.88	
35	28.05	
36	58.70	
37	130.77	
38	23.26	
39	46.03	
40	39.54	
41	38.11	
42	32.76	
43	47.61	
44	28.05	
45	32.26	
46	50.34	
47	29.26	
48	31.32	
49	131.34	
50	117.51	
51	165.63	
52	66.43	
53	38.77	
54	45.37	
55	103.42	
56	123.96	
57	128.27	
58	85.66	
59	33.60	
60	32.55	
61	20.42	
62	43.06	
63	31.29	
64	64.05	
65	25.49	
66	41.57	
67	31.59	
68	30.42	
69	21.86	
70	21.15	
71	26.08	
72	44.59	
73	53.19	
74	21.59	
75	38.96	
76	31.34	
77	66.16	
78	82.49	
79	49.03	
80	34.98	
81	29.33	
82	31.35	
83	42.71	
84	81.39	
85	73.22	
86	63.17	
87	41.99	
88	35.24	
89	29.33	
90	34.20	
91	21.86	
92	38.71	
93	42.30	
94	38.71	
95	44.33	
96	42.93	
97	20.79	
98	33.18	
99	40.69	
100	40.12	
101	76.06	
102	48.29	
103	39.10	
104	33.64	
105	149.56	
106	26.31	
107	53.36	
108	42.12	
109	50.08	
110	41.85	
111	37.96	
112	47.29	
113	38.51	
114	45.02	
115	33.64	
116	26.08	
117	26.59	
118	31.83	
119	39.35	
120	34.59	
121	34.64	
122	21.51	
123	22.89	
124	45.14	
125	30.54	
126	33.75	
127	61.40	
128	59.47	
129	35.25	
130	26.59	
131	58.70	
132	31.83	
133	42.88	
134	26.31	
135	45.65	
136	44.24	
137	38.81	
138	33.42	
139	23.55	
140	22.80	
141	30.92	
142	28.20	
143	41.84	
144	22.88	
145	48.41	
146	44.33	
147	47.29	
148	20.13	
149	34.59	
150	24.50	
151	40.69	
152	56.70	
153	35.25	
154	40.12	
155	46.15	
156	27.65	
157	45.64	
158	36.90	
159	44.24	
160	107.55	
161	42.88	
162	33.42	
163	24.50	
164	41.57	
165	61.09	
166	34.15	
167	52.06	
168	34.98	
169	33.41	
170	40.12	
171	65.00	
172	42.89	
173	46.65	
174	50.77	
175	47.01	
176	33.64	
177	38.96	
178	41.24	
179	74.19	
180	26.09	
181	32.24	
182	37.36	
183	66.37	
184	50.08	
185	131.53	
186	115.51	
187	39.55	
188	36.05	
189	40.12	
190	30.92	
191	43.06	
192	42.88	
193	66.50	
194	66.42	
195	43.06	
196	29.07	
197	30.92	
198	34.59	
199	38.42	
200	56.70	
201	20.79	
202	23.79	
203	21.86	
204	21.15	
205	12.52	
206	21.06	
207	24.19	
208	23.87	
209	53.19	
210	58.33	
211	60.75	
212	32.07	
213	32.07	
214	55.58	
215	29.91	
216	68.22	
217	27.16	
218	28.87	
219	30.42	
220	25.04	
221	26.31	
222	37.36	
223	123.29	
224	23.63	
225	37.35	
226	39.60	
227	65.73	
228	45.81	
229	42.92	
230	31.53	
231	42.93	
232	32.07	
233	84.89	
234	41.10	
235	38.81	
236	49.85	
237	37.61	
238	55.34	
239	49.77	
240	53.37	
241	20.79	
242	29.59	
243	32.54	
244	22.29	
245	29.78	
246	22.88	
247	59.38	
248	37.36	
249	102.08	
250	86.83	
251	44.97	
252	38.57	
253	37.36	
254	23.54	
255	36.90	
256	63.65	
257	35.20	
258	27.45	
259	36.74	
260	59.48	
261	174.12	
262	31.35	
263	92.47	
264	92.94	
265	61.13	
266	213.12	
267	71.18	
268	28.47	
269	29.07	
270	31.53	
271	22.12	
272	31.59	
273	29.07	
274	29.85	
275	26.24	
276	24.50	
277	163.79	
278	162.27	
279	70.65	
280	50.83	
281	46.02	
282	25.42	
283	33.47	
284	68.76	
285	264.94	
286	160.33	
287	71.95	
288	71.17	
289	56.84	
290	40.30	
291	33.29	
292	21.51	
293	30.42	
294	34.81	
295	47.74	
296	46.65	
297	71.78	
298	79.82	
299	45.81	
300	107.58	
301	90.23	
302	42.93	
303	90.39	
304	55.06	
305	64.56	
306	78.83	
307	39.30	
308	29.59	
309	27.37	
310	89.21	
311	22.30	
312	21.86	
313	17.49	
314	24.50	
315	24.50	
316	22.89	
317	24.19	
318	23.55	
319	25.42	
320	70.50	
321	178.46	
322	25.04	
