*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	225
Max./um	439.06
Min./um	30.92
Mean/um	160.34
No.	Particle size/um
1	69.54	
2	146.62	
3	91.48	
4	104.41	
5	93.09	
6	353.34	
7	171.70	
8	340.26	
9	186.28	
10	183.56	
11	210.27	
12	184.62	
13	205.82	
14	280.43	
15	175.56	
16	286.70	
17	206.38	
18	125.13	
19	186.38	
20	156.96	
21	156.72	
22	127.18	
23	143.91	
24	146.81	
25	98.70	
26	112.28	
27	102.90	
28	104.46	
29	233.68	
30	74.12	
31	168.05	
32	338.03	
33	135.88	
34	92.75	
35	219.56	
36	234.74	
37	149.97	
38	104.46	
39	79.54	
40	122.18	
41	54.97	
42	333.66	
43	117.05	
44	229.80	
45	82.05	
46	96.79	
47	61.11	
48	142.16	
49	218.59	
50	190.19	
51	310.47	
52	231.69	
53	115.73	
54	213.50	
55	258.79	
56	328.73	
57	312.86	
58	190.19	
59	150.14	
60	236.48	
61	115.21	
62	439.06	
63	209.61	
64	97.61	
65	116.00	
66	153.24	
67	125.79	
68	245.97	
69	119.45	
70	342.58	
71	268.54	
72	162.50	
73	163.64	
74	167.26	
75	59.51	
76	226.65	
77	57.49	
78	115.04	
79	113.67	
80	88.09	
81	135.03	
82	120.80	
83	96.71	
84	40.97	
85	208.48	
86	69.77	
87	266.26	
88	191.43	
89	106.12	
90	104.23	
91	107.82	
92	150.14	
93	58.95	
94	71.88	
95	102.16	
96	107.69	
97	110.94	
98	144.56	
99	205.81	
100	112.50	
101	91.62	
102	162.50	
103	135.31	
104	163.93	
105	205.07	
106	127.17	
107	336.40	
108	307.78	
109	196.39	
110	285.37	
111	104.97	
112	94.05	
113	75.80	
114	129.56	
115	144.87	
116	269.13	
117	130.70	
118	51.45	
119	220.71	
120	68.65	
121	71.63	
122	202.62	
123	162.55	
124	263.83	
125	118.63	
126	194.59	
127	94.34	
128	156.57	
129	128.83	
130	99.41	
131	90.09	
132	152.45	
133	151.14	
134	110.98	
135	68.27	
136	150.92	
137	62.87	
138	111.45	
139	165.92	
140	104.64	
141	194.57	
142	176.22	
143	266.82	
144	201.12	
145	89.90	
146	133.74	
147	115.72	
148	69.12	
149	241.60	
150	160.91	
151	148.17	
152	404.77	
153	213.68	
154	117.02	
155	188.93	
156	296.21	
157	211.48	
158	178.80	
159	163.99	
160	197.63	
161	259.18	
162	93.74	
163	267.45	
164	54.38	
165	37.52	
166	99.41	
167	125.79	
168	30.92	
169	141.79	
170	129.56	
171	44.45	
172	89.85	
173	162.82	
174	116.11	
175	117.34	
176	66.85	
177	61.51	
178	127.48	
179	199.34	
180	133.75	
181	291.23	
182	116.38	
183	218.57	
184	294.12	
185	236.25	
186	167.51	
187	89.83	
188	174.00	
189	225.10	
190	187.66	
191	188.15	
192	145.42	
193	88.76	
194	67.52	
195	96.43	
196	175.01	
197	114.69	
198	114.21	
199	222.33	
200	131.61	
201	189.75	
202	112.28	
203	192.39	
204	374.76	
205	296.45	
206	183.06	
207	148.16	
208	159.49	
209	207.34	
210	242.09	
211	109.32	
212	187.71	
213	77.75	
214	98.68	
215	156.88	
216	143.76	
217	172.82	
218	163.65	
219	86.56	
220	111.83	
221	154.63	
222	117.36	
223	193.60	
224	200.29	
225	80.75	
===============Statistical report===============
Distr./um	Mean/um	Amount	Freq.
30-71	50.5	20	8.89%
71-112	91.5	46	20.44%
112-153	132.5	54	24.00%
153-194	173.5	42	18.67%
194-235	214.5	30	13.33%
235-276	255.5	13	5.78%
276-317	296.5	10	4.44%
317-358	337.5	7	3.11%
358-399	378.5	1	0.44%
399-440	419.5	2	0.89%
********************************************************
 
