*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	255
Max./um	503.46
Min./um	39.68
Mean/um	218.55
No.	Particle size/um
1	253.76	
2	310.69	
3	263.10	
4	155.08	
5	225.81	
6	228.05	
7	127.69	
8	280.56	
9	266.77	
10	362.07	
11	169.30	
12	163.67	
13	263.67	
14	206.16	
15	140.64	
16	170.62	
17	309.75	
18	442.91	
19	265.83	
20	158.00	
21	121.75	
22	74.01	
23	168.07	
24	154.07	
25	82.23	
26	90.49	
27	221.01	
28	216.55	
29	206.97	
30	316.14	
31	119.29	
32	108.82	
33	335.00	
34	187.61	
35	191.00	
36	132.92	
37	131.04	
38	286.95	
39	259.71	
40	237.55	
41	39.68	
42	256.70	
43	99.76	
44	86.45	
45	133.41	
46	194.38	
47	73.13	
48	352.91	
49	191.69	
50	337.91	
51	131.37	
52	96.18	
53	162.23	
54	136.09	
55	143.07	
56	502.68	
57	155.19	
58	310.02	
59	371.44	
60	94.69	
61	233.19	
62	229.10	
63	134.00	
64	109.67	
65	131.13	
66	162.34	
67	226.70	
68	162.34	
69	138.71	
70	222.06	
71	232.42	
72	180.87	
73	123.30	
74	152.09	
75	225.75	
76	173.38	
77	47.51	
78	217.72	
79	146.59	
80	216.53	
81	305.65	
82	150.07	
83	335.52	
84	119.88	
85	109.93	
86	211.83	
87	88.58	
88	199.34	
89	86.04	
90	219.88	
91	489.87	
92	195.89	
93	314.69	
94	166.15	
95	176.56	
96	201.47	
97	208.29	
98	274.07	
99	236.91	
100	206.86	
101	318.40	
102	117.41	
103	175.61	
104	278.85	
105	237.55	
106	108.58	
107	142.61	
108	123.30	
109	124.77	
110	170.48	
111	85.19	
112	68.04	
113	60.37	
114	56.08	
115	313.80	
116	323.64	
117	484.26	
118	174.26	
119	108.82	
120	241.34	
121	190.43	
122	167.76	
123	215.19	
124	115.77	
125	130.86	
126	245.34	
127	270.18	
128	401.70	
129	286.62	
130	296.28	
131	151.04	
132	254.09	
133	138.52	
134	331.29	
135	258.77	
136	193.17	
137	177.84	
138	166.00	
139	126.53	
140	260.43	
141	274.51	
142	147.18	
143	124.81	
144	219.36	
145	136.94	
146	241.25	
147	92.36	
148	156.41	
149	146.53	
150	64.53	
151	113.57	
152	136.94	
153	136.70	
154	180.91	
155	80.82	
156	181.52	
157	104.65	
158	72.10	
159	137.73	
160	207.69	
161	189.44	
162	182.59	
163	268.09	
164	273.55	
165	294.83	
166	285.97	
167	155.53	
168	392.59	
169	249.54	
170	422.33	
171	172.26	
172	328.32	
173	368.83	
174	365.29	
175	190.54	
176	211.61	
177	277.00	
178	301.34	
179	303.96	
180	126.51	
181	94.76	
182	176.35	
183	136.70	
184	250.65	
185	279.12	
186	295.32	
187	226.70	
188	244.94	
189	307.96	
190	210.93	
191	280.07	
192	265.01	
193	142.52	
194	229.41	
195	235.32	
196	302.83	
197	352.85	
198	312.13	
199	221.01	
200	258.56	
201	352.19	
202	315.99	
203	232.90	
204	307.17	
205	250.80	
206	388.27	
207	280.62	
208	380.74	
209	292.52	
210	275.35	
211	287.74	
212	282.78	
213	298.29	
214	228.05	
215	281.83	
216	131.13	
217	405.80	
218	308.39	
219	224.54	
220	294.16	
221	346.80	
222	418.80	
223	308.93	
224	295.12	
225	189.89	
226	165.47	
227	503.46	
228	247.11	
229	238.67	
230	343.07	
231	254.30	
232	332.10	
233	243.64	
234	111.02	
235	219.80	
236	129.32	
237	227.76	
238	214.33	
239	179.52	
240	167.57	
241	335.66	
242	327.04	
243	246.48	
244	177.18	
245	247.82	
246	323.83	
247	169.12	
248	254.75	
249	125.47	
250	133.96	
251	192.36	
252	155.42	
253	307.83	
254	256.64	
255	252.53	
===============Statistical report===============
Distr./um	Mean/um	Amount	Freq.
39-85.5	62.25	12	4.71%
85.5-132	108.75	36	14.12%
132-178.5	155.25	51	20.00%
178.5-225	201.75	38	14.90%
225-271.5	248.25	46	18.04%
271.5-318	294.75	40	15.69%
318-364.5	341.25	17	6.67%
364.5-411	387.75	8	3.14%
411-457.5	434.25	3	1.18%
457.5-504	480.75	4	1.57%
********************************************************
 
