*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	120
Max./um	818.34
Min./um	45.94
Mean/um	344.51
No.	Particle size/um
1	713.99	
2	304.54	
3	258.24	
4	736.45	
5	337.68	
6	408.64	
7	640.00	
8	572.21	
9	668.69	
10	586.57	
11	450.25	
12	818.34	
13	560.22	
14	400.25	
15	342.04	
16	577.19	
17	611.54	
18	486.87	
19	617.47	
20	520.31	
21	460.93	
22	331.44	
23	585.74	
24	603.92	
25	215.23	
26	384.96	
27	258.12	
28	249.54	
29	403.81	
30	446.61	
31	690.44	
32	715.97	
33	544.70	
34	694.30	
35	726.51	
36	434.55	
37	480.43	
38	481.55	
39	488.42	
40	294.56	
41	398.60	
42	250.16	
43	658.52	
44	370.35	
45	175.11	
46	197.83	
47	527.35	
48	204.89	
49	193.62	
50	321.61	
51	307.46	
52	187.81	
53	219.44	
54	125.14	
55	145.56	
56	220.50	
57	420.84	
58	493.89	
59	201.69	
60	244.69	
61	129.35	
62	302.93	
63	507.26	
64	134.63	
65	493.06	
66	295.89	
67	214.18	
68	298.42	
69	384.83	
70	151.05	
71	289.43	
72	250.40	
73	209.14	
74	175.65	
75	122.69	
76	245.28	
77	236.28	
78	431.67	
79	302.09	
80	244.87	
81	186.39	
82	269.03	
83	151.41	
84	209.75	
85	198.39	
86	301.57	
87	274.19	
88	476.40	
89	395.84	
90	76.99	
91	96.98	
92	170.11	
93	156.75	
94	105.92	
95	305.74	
96	156.68	
97	473.32	
98	118.40	
99	163.52	
100	101.03	
101	559.60	
102	289.59	
103	102.71	
104	92.03	
105	156.31	
106	45.94	
107	99.18	
108	195.84	
109	358.80	
110	172.14	
111	303.60	
112	387.10	
113	306.74	
114	352.20	
115	389.88	
116	219.07	
117	246.92	
118	440.40	
119	435.76	
120	411.46	
===============Statistical report===============
Distr./um	Mean/um	Amount	Freq.
45-122.4	83.7	9	7.50%
122.4-199.8	161.1	21	17.50%
199.8-277.2	238.5	21	17.50%
277.2-354.6	315.9	18	15.00%
354.6-432	393.3	14	11.67%
432-509.4	470.7	15	12.50%
509.4-586.8	548.1	9	7.50%
586.8-664.2	625.5	5	4.17%
664.2-741.6	702.9	7	5.83%
741.6-819	780.3	1	0.83%
********************************************************

