*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	350
Max./um	492.45
Min./um	12.42
Mean/um	108.99
No.	Particle size/um
1	70.55	
2	111.49	
3	27.78	
4	165.91	
5	91.77	
6	87.57	
7	74.44	
8	120.04	
9	144.67	
10	359.31	
11	194.40	
12	66.10	
13	159.81	
14	54.25	
15	66.92	
16	178.13	
17	121.30	
18	244.60	
19	66.36	
20	268.37	
21	87.56	
22	65.06	
23	179.43	
24	43.13	
25	156.71	
26	41.85	
27	119.16	
28	95.73	
29	27.77	
30	250.66	
31	310.06	
32	162.30	
33	171.81	
34	270.68	
35	17.57	
36	215.69	
37	134.64	
38	61.82	
39	21.10	
40	131.58	
41	86.17	
42	182.36	
43	166.62	
44	243.80	
45	81.15	
46	188.04	
47	122.91	
48	87.38	
49	82.21	
50	309.72	
51	238.13	
52	103.09	
53	56.62	
54	214.10	
55	78.42	
56	104.93	
57	260.29	
58	190.57	
59	145.36	
60	116.29	
61	220.14	
62	165.70	
63	144.70	
64	133.49	
65	89.26	
66	157.77	
67	226.39	
68	175.46	
69	212.99	
70	132.70	
71	202.16	
72	169.87	
73	60.65	
74	64.92	
75	178.24	
76	173.90	
77	93.57	
78	72.40	
79	152.11	
80	175.11	
81	88.64	
82	87.61	
83	90.40	
84	171.83	
85	55.38	
86	34.36	
87	103.92	
88	69.37	
89	178.31	
90	134.65	
91	72.94	
92	83.34	
93	87.41	
94	159.80	
95	88.63	
96	93.08	
97	81.60	
98	58.51	
99	62.93	
100	103.09	
101	104.42	
102	265.39	
103	136.15	
104	120.32	
105	129.41	
106	75.31	
107	215.57	
108	90.38	
109	124.49	
110	136.27	
111	75.31	
112	84.45	
113	110.48	
114	95.17	
115	285.62	
116	160.85	
117	144.07	
118	108.85	
119	93.63	
120	42.20	
121	30.13	
122	197.46	
123	83.54	
124	186.29	
125	124.20	
126	144.14	
127	98.13	
128	108.61	
129	76.83	
130	492.45	
131	329.04	
132	81.95	
133	143.51	
134	168.60	
135	189.17	
136	115.36	
137	193.88	
138	263.02	
139	281.74	
140	134.28	
141	67.70	
142	168.89	
143	152.45	
144	193.12	
145	140.28	
146	105.42	
147	119.99	
148	132.19	
149	108.68	
150	108.21	
151	85.67	
152	119.35	
153	139.17	
154	117.70	
155	57.94	
156	62.90	
157	81.33	
158	189.70	
159	220.39	
160	68.18	
161	70.34	
162	87.38	
163	179.21	
164	160.19	
165	155.71	
166	113.24	
167	117.20	
168	160.37	
169	143.13	
170	94.64	
171	121.16	
172	35.14	
173	16.22	
174	65.79	
175	90.46	
176	110.51	
177	107.03	
178	125.28	
179	151.68	
180	48.57	
181	59.36	
182	139.60	
183	205.64	
184	210.38	
185	81.99	
186	76.21	
187	125.40	
188	45.58	
189	104.78	
190	189.91	
191	84.43	
192	36.77	
193	201.51	
194	116.34	
195	267.13	
196	202.03	
197	248.84	
198	90.38	
199	63.57	
200	92.45	
201	206.71	
202	122.96	
203	28.42	
204	70.07	
205	32.59	
206	82.31	
207	45.90	
208	46.00	
209	65.06	
210	75.35	
211	54.33	
212	67.96	
213	51.84	
214	56.04	
215	35.13	
216	60.24	
217	30.13	
218	36.14	
219	75.52	
220	57.97	
221	38.12	
222	79.62	
223	56.27	
224	57.98	
225	68.76	
226	89.26	
227	27.79	
228	40.99	
229	63.25	
230	36.67	
231	90.62	
232	79.53	
233	178.96	
234	119.99	
235	79.29	
236	83.34	
237	52.61	
238	204.27	
239	103.91	
240	280.77	
241	57.58	
242	138.65	
243	83.76	
244	198.48	
245	223.90	
246	172.51	
247	190.75	
248	86.18	
249	214.41	
250	120.02	
251	126.70	
252	99.09	
253	109.20	
254	87.61	
255	120.27	
256	105.22	
257	62.11	
258	54.97	
259	136.47	
260	76.81	
261	197.56	
262	112.15	
263	51.50	
264	233.39	
265	193.56	
266	353.52	
267	114.37	
268	113.91	
269	70.29	
270	39.27	
271	38.12	
272	27.78	
273	51.84	
274	36.28	
275	59.81	
276	76.79	
277	124.88	
278	36.28	
279	134.53	
280	103.58	
281	41.98	
282	54.33	
283	94.60	
284	101.04	
285	44.79	
286	60.05	
287	106.56	
288	60.58	
289	47.15	
290	155.07	
291	80.96	
292	41.96	
293	54.33	
294	67.40	
295	62.03	
296	58.51	
297	45.58	
298	45.90	
299	18.07	
300	54.34	
301	75.58	
302	74.43	
303	60.99	
304	60.54	
305	66.92	
306	87.87	
307	86.17	
308	129.38	
309	196.19	
310	43.15	
311	79.08	
312	91.81	
313	37.28	
314	37.75	
315	33.15	
316	27.77	
317	30.27	
318	76.05	
319	35.26	
320	60.24	
321	35.14	
322	53.91	
323	22.94	
324	68.73	
325	38.59	
326	58.50	
327	23.53	
328	46.10	
329	87.87	
330	54.33	
331	25.92	
332	39.62	
333	21.08	
334	27.78	
335	86.94	
336	25.75	
337	35.14	
338	32.44	
339	24.29	
340	30.74	
341	33.29	
342	68.69	
343	33.68	
344	48.32	
345	39.30	
346	31.03	
347	34.36	
348	47.06	
349	12.42	
350	26.94	
===============Statistical report===============
Distr./um	Mean/um	Amount	Freq.
12-60.1	36.05	93	26.57%
60.1-108.2	84.14999	114	32.57%
108.2-156.3	132.25	64	18.29%
156.3-204.4	180.35	46	13.14%
204.4-252.5	228.45	18	5.14%
252.5-300.6	276.55	9	2.57%
300.6-348.7	324.65	3	0.86%
348.7-396.8	372.75	2	0.57%
396.8-444.9	420.85	0	0.00%
444.9-493	468.95	1	0.29%
********************************************************

