*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	308
Max./um	388.66
Min./um	15.21
Mean/um	99.56
No.	Particle size/um
1	168.52	
2	109.06	
3	96.55	
4	49.80	
5	179.67	
6	124.31	
7	69.60	
8	146.79	
9	52.61	
10	86.24	
11	117.39	
12	93.82	
13	73.31	
14	83.89	
15	144.69	
16	113.08	
17	45.68	
18	61.46	
19	127.30	
20	115.97	
21	192.53	
22	56.42	
23	74.01	
24	97.60	
25	103.32	
26	201.14	
27	77.05	
28	48.09	
29	77.05	
30	272.17	
31	104.73	
32	47.04	
33	52.21	
34	185.61	
35	63.73	
36	37.36	
37	104.98	
38	186.32	
39	103.74	
40	107.02	
41	56.15	
42	133.95	
43	115.08	
44	104.63	
45	56.54	
46	90.99	
47	118.82	
48	107.87	
49	108.21	
50	103.30	
51	123.96	
52	68.54	
53	62.06	
54	67.21	
55	129.17	
56	81.28	
57	86.72	
58	91.00	
59	239.26	
60	50.51	
61	53.37	
62	51.37	
63	76.07	
64	89.24	
65	35.28	
66	18.67	
67	106.15	
68	96.18	
69	69.31	
70	123.79	
71	70.30	
72	74.45	
73	78.60	
74	96.18	
75	133.25	
76	140.52	
77	65.00	
78	117.21	
79	43.88	
80	158.86	
81	131.80	
82	98.47	
83	50.81	
84	142.31	
85	38.91	
86	74.07	
87	185.03	
88	70.32	
89	169.03	
90	66.28	
91	138.06	
92	137.88	
93	103.69	
94	115.91	
95	82.12	
96	114.36	
98	111.19	
99	267.28	
100	88.73	
101	173.17	
102	72.56	
103	107.40	
104	388.66	
105	77.23	
106	203.89	
107	173.57	
108	128.68	
109	80.33	
110	82.85	
111	78.82	
112	78.27	
113	135.24	
114	151.16	
115	119.47	
116	141.47	
117	131.99	
118	263.00	
119	33.28	
120	81.28	
121	76.61	
122	107.12	
123	68.01	
124	83.49	
125	88.44	
126	116.53	
127	112.36	
128	66.10	
129	55.79	
130	143.40	
131	134.89	
132	71.30	
133	203.16	
134	301.35	
135	86.64	
136	69.68	
137	76.38	
138	35.92	
139	64.36	
140	75.45	
141	66.41	
142	133.58	
143	99.85	
144	97.53	
145	50.65	
146	64.52	
147	69.67	
148	119.04	
149	52.42	
150	48.40	
151	100.40	
152	147.83	
153	57.47	
154	44.90	
155	54.51	
156	77.81	
157	109.46	
158	45.66	
159	39.20	
160	76.80	
161	59.93	
162	47.79	
163	71.06	
164	161.73	
165	89.85	
166	46.41	
167	45.66	
168	29.57	
169	43.09	
170	60.32	
171	54.96	
172	59.02	
173	21.38	
174	50.65	
175	29.57	
176	139.24	
177	79.46	
178	117.11	
179	66.97	
180	107.38	
181	89.28	
182	48.39	
183	122.12	
184	267.89	
185	186.65	
186	150.47	
187	32.15	
188	53.72	
189	24.02	
190	65.02	
191	86.61	
192	43.08	
193	43.03	
194	99.72	
195	60.52	
196	51.10	
197	53.06	
198	37.33	
199	40.07	
200	44.45	
201	71.71	
202	20.56	
203	111.93	
204	68.35	
205	43.09	
206	72.07	
207	248.69	
208	172.11	
209	59.93	
210	110.16	
211	59.37	
212	63.78	
213	40.06	
214	79.87	
215	98.43	
216	108.63	
217	122.42	
218	66.96	
219	78.03	
220	89.71	
221	143.17	
222	15.21	
223	80.62	
224	60.87	
225	63.26	
226	111.12	
227	39.48	
228	22.86	
229	41.76	
230	76.67	
231	118.65	
232	88.66	
233	87.87	
234	81.11	
235	98.64	
236	35.20	
237	72.12	
238	151.50	
239	63.34	
240	128.92	
241	99.71	
242	23.46	
243	22.12	
244	52.65	
245	39.54	
246	76.27	
247	45.82	
248	156.70	
249	124.78	
250	74.83	
251	245.92	
252	31.59	
253	101.71	
254	46.96	
255	48.37	
256	39.35	
257	97.72	
258	85.26	
259	372.05	
260	234.74	
261	172.94	
262	170.98	
263	163.54	
264	365.13	
265	103.31	
266	216.88	
267	252.88	
268	98.00	
269	79.88	
270	170.71	
271	119.86	
272	56.06	
273	96.21	
274	149.57	
275	113.75	
276	74.27	
277	98.21	
278	184.39	
279	174.36	
280	69.04	
281	98.17	
282	184.17	
283	176.43	
284	167.89	
285	81.82	
286	68.01	
287	112.67	
288	39.11	
289	207.34	
290	79.97	
291	225.62	
292	70.07	
293	58.48	
294	99.50	
295	92.23	
296	80.44	
297	79.76	
298	76.03	
299	38.51	
300	157.03	
301	52.86	
302	144.39	
303	144.02	
304	82.75	
305	82.73	
306	55.41	
307	30.73	
308	73.06	
309	82.68	
===============Statistical report===============
Distr./um	Mean/um	Amount	Freq.
15-52.4	33.7	56	18.18%
52.4-89.8	71.10001	112	36.36%
89.8-127.2	108.5	69	22.40%
127.2-164.6	145.9	33	10.71%
164.6-202	183.3	20	6.49%
202-239.4	220.7	7	2.27%
239.4-276.8	258.1	7	2.27%
276.8-314.2	295.5	1	0.32%
314.2-351.6	332.9	0	0.00%
351.6-389	370.3	3	0.97%
********************************************************

