*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	303
Max./um	435.19
Min./um	41.79
Mean/um	186.84
No.	Particle size/um
1	170.79	
2	102.64	
3	216.76	
4	231.76	
5	192.54	
6	86.34	
7	273.98	
8	342.33	
9	76.72	
10	160.22	
11	92.89	
12	226.63	
13	273.13	
14	153.42	
15	145.71	
16	110.14	
17	143.23	
18	106.49	
19	258.58	
20	97.80	
21	165.03	
22	192.49	
23	196.07	
24	194.62	
25	250.45	
26	284.56	
27	284.02	
28	301.74	
29	298.15	
30	114.31	
31	147.85	
32	99.31	
33	190.53	
34	222.93	
35	156.98	
36	165.08	
37	185.62	
38	182.52	
39	178.63	
40	277.02	
41	210.49	
42	291.20	
43	184.71	
44	164.14	
45	314.14	
46	289.65	
47	174.31	
48	221.68	
49	163.29	
50	136.48	
51	180.07	
52	263.15	
53	251.83	
54	110.17	
55	72.34	
56	251.91	
57	119.34	
58	191.15	
59	173.92	
60	111.36	
61	208.94	
62	70.13	
63	78.34	
64	71.66	
65	262.48	
66	194.56	
67	98.94	
68	128.22	
69	130.40	
70	88.04	
71	180.33	
72	126.10	
73	361.97	
74	137.58	
75	158.62	
76	180.46	
77	266.12	
78	252.42	
79	211.89	
80	225.98	
81	224.32	
82	131.02	
83	148.78	
84	159.42	
85	107.35	
86	218.86	
87	401.41	
88	109.11	
89	86.56	
90	92.43	
91	114.21	
92	69.53	
93	80.86	
94	240.98	
95	273.58	
96	177.64	
97	211.68	
98	199.30	
99	84.56	
100	97.80	
101	97.18	
102	196.13	
103	232.51	
104	91.26	
105	220.55	
106	44.32	
107	244.28	
108	374.63	
109	297.40	
110	318.82	
111	284.56	
112	140.96	
113	299.66	
114	175.89	
115	126.57	
116	118.20	
117	162.85	
118	208.94	
119	388.45	
120	247.33	
121	228.87	
122	192.63	
123	193.60	
124	251.51	
125	435.19	
126	176.53	
127	258.60	
128	310.92	
129	84.39	
130	88.46	
131	160.85	
132	164.70	
133	60.99	
134	83.59	
135	83.86	
136	135.83	
137	205.00	
138	196.80	
139	131.26	
140	105.81	
141	303.80	
142	133.41	
143	106.91	
144	147.82	
145	225.38	
146	173.93	
147	332.54	
148	251.51	
149	184.71	
150	140.14	
151	184.22	
152	383.94	
153	135.69	
154	235.69	
155	150.07	
156	120.53	
157	271.87	
158	194.85	
159	234.51	
160	226.15	
161	367.30	
162	72.86	
163	139.92	
164	102.30	
165	323.20	
166	86.98	
167	133.91	
168	90.75	
169	159.44	
170	94.92	
171	81.19	
172	119.53	
173	110.84	
174	57.97	
175	212.24	
176	182.44	
177	154.71	
178	156.74	
179	196.57	
180	315.33	
181	188.14	
182	116.99	
183	140.20	
184	229.86	
185	165.45	
186	148.61	
187	159.52	
188	117.64	
189	268.39	
190	230.37	
191	212.98	
192	191.27	
193	246.06	
194	242.04	
195	271.82	
196	238.51	
197	322.39	
198	291.57	
199	118.28	
200	133.41	
201	99.17	
202	47.00	
203	54.37	
204	95.33	
205	52.87	
206	41.79	
207	197.91	
208	69.67	
209	178.35	
210	128.71	
211	84.36	
212	84.77	
213	74.84	
214	78.70	
215	224.31	
216	190.01	
217	117.61	
218	145.97	
219	67.67	
220	119.86	
221	93.63	
222	101.06	
223	254.22	
224	110.17	
225	171.90	
226	116.83	
227	148.63	
228	73.31	
229	141.77	
230	83.94	
231	128.37	
232	286.40	
233	384.51	
234	111.84	
235	234.76	
236	218.56	
237	213.15	
238	185.67	
239	287.23	
240	352.02	
241	252.40	
242	310.92	
243	273.60	
244	296.37	
245	329.84	
246	387.39	
247	238.56	
248	271.69	
249	310.45	
250	383.53	
251	267.97	
252	232.23	
253	354.27	
254	283.71	
255	277.86	
256	366.09	
257	337.05	
258	332.63	
259	356.32	
260	174.75	
261	93.45	
262	261.88	
263	168.80	
264	397.08	
265	259.65	
266	195.40	
267	262.55	
268	302.73	
269	291.87	
270	273.70	
271	312.25	
272	82.47	
273	108.06	
274	130.40	
275	109.10	
276	253.98	
277	350.37	
278	102.15	
279	217.34	
280	210.45	
281	186.88	
282	63.05	
283	232.54	
284	52.86	
285	83.61	
286	65.13	
287	93.46	
288	151.15	
289	141.57	
290	267.43	
291	201.30	
292	213.97	
293	133.40	
294	206.44	
295	48.59	
296	120.85	
297	127.05	
298	151.83	
299	132.97	
300	83.01	
301	117.00	
302	171.95	
303	56.66	
===============Statistical report===============
Distr./um	Mean/um	Amount	Freq.
41-80.5	60.75	24	7.92%
80.5-120	100.25	61	20.13%
120-159.5	139.75	45	14.85%
159.5-199	179.25	52	17.16%
199-238.5	218.75	37	12.21%
238.5-278	258.25	37	12.21%
278-317.5	297.75	23	7.59%
317.5-357	337.25	12	3.96%
357-396.5	376.75	9	2.97%
396.5-436	416.25	3	0.99%
********************************************************

