*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	320
Max./um	1009.01
Min./um	10.73
Mean/um	223.54
No.	Particle size/um
1	853.63	
2	147.63	
3	744.03	
4	402.36	
5	369.37	
6	125.68	
7	773.19	
8	416.68	
9	760.18	
10	189.80	
11	341.51	
12	700.26	
13	719.99	
14	745.55	
15	553.98	
16	687.71	
17	929.51	
18	829.04	
19	603.69	
20	259.43	
21	977.40	
22	708.75	
23	1009.01	
24	738.89	
25	566.41	
26	311.11	
27	492.55	
28	550.12	
29	899.31	
30	547.54	
31	870.50	
32	561.09	
33	266.86	
34	705.68	
35	203.92	
36	619.29	
37	10.73	
38	632.93	
39	699.44	
40	316.73	
41	110.72	
42	833.67	
43	179.68	
44	266.26	
45	161.06	
46	567.65	
47	147.80	
48	273.81	
49	306.75	
50	438.33	
51	61.42	
52	69.85	
53	660.44	
54	510.89	
55	239.21	
56	130.47	
57	81.55	
58	171.67	
59	207.90	
60	209.08	
61	316.65	
62	834.74	
63	279.89	
64	63.66	
65	73.61	
66	96.60	
67	328.74	
68	59.51	
69	93.05	
70	61.11	
71	65.26	
72	206.69	
73	110.92	
74	380.39	
75	55.97	
76	551.36	
77	108.59	
78	175.33	
79	149.76	
80	143.63	
81	85.16	
82	82.80	
83	56.34	
84	76.87	
85	130.94	
86	74.07	
87	89.08	
88	337.18	
89	549.13	
90	49.50	
91	103.40	
92	50.72	
93	130.39	
94	49.88	
95	108.83	
96	95.34	
97	41.88	
98	47.73	
99	42.97	
100	39.67	
101	48.21	
102	81.08	
103	36.46	
104	53.56	
105	63.11	
106	84.86	
107	64.84	
108	128.25	
109	79.24	
110	44.77	
111	90.59	
112	560.28	
113	55.80	
114	50.96	
115	121.52	
116	293.41	
117	364.46	
118	70.10	
119	72.12	
120	92.96	
121	751.01	
122	267.02	
123	447.93	
124	208.09	
125	172.07	
126	96.50	
127	418.02	
128	366.70	
129	407.25	
130	776.16	
131	90.10	
132	115.02	
133	178.92	
134	124.40	
135	237.10	
136	128.10	
137	392.69	
138	187.13	
139	683.14	
140	834.39	
141	639.20	
142	228.90	
143	802.33	
144	562.49	
145	416.18	
146	352.09	
147	288.51	
148	168.95	
149	642.47	
150	388.23	
151	447.61	
152	368.26	
153	416.52	
154	298.47	
155	643.88	
156	151.67	
157	233.60	
158	707.59	
159	57.40	
160	44.33	
161	64.34	
162	81.02	
163	19.06	
164	38.43	
165	54.03	
166	132.13	
167	66.38	
168	65.10	
169	116.58	
170	118.55	
171	49.76	
172	78.70	
173	246.26	
174	622.99	
175	60.02	
176	127.31	
177	63.96	
178	339.68	
179	70.09	
180	158.98	
181	52.66	
182	38.51	
183	61.10	
184	642.91	
185	57.65	
186	42.24	
187	59.64	
188	56.66	
189	126.02	
190	196.50	
191	42.96	
192	67.46	
193	33.45	
194	45.34	
195	45.54	
196	57.41	
197	57.21	
198	82.30	
199	43.17	
200	49.08	
201	44.17	
202	35.70	
203	42.91	
204	24.46	
205	31.89	
206	45.46	
207	34.59	
208	16.33	
209	64.68	
210	74.93	
211	39.56	
212	42.91	
213	49.34	
214	48.96	
215	45.25	
216	57.63	
217	71.31	
218	322.26	
219	92.35	
220	40.47	
221	43.39	
222	44.17	
223	72.11	
224	27.96	
225	69.83	
226	159.43	
227	338.17	
228	225.68	
229	374.34	
230	189.20	
231	101.71	
232	94.71	
233	101.72	
234	148.91	
235	66.22	
236	103.50	
237	83.75	
238	584.69	
239	121.42	
240	82.20	
241	173.30	
242	45.25	
243	117.98	
244	79.40	
245	66.22	
246	109.63	
247	314.81	
248	552.55	
249	236.22	
250	53.07	
251	125.89	
252	63.77	
253	119.40	
254	60.09	
255	102.32	
256	54.14	
257	49.39	
258	66.53	
259	54.60	
260	118.44	
261	51.89	
262	79.10	
263	98.87	
264	123.08	
265	23.98	
266	35.38	
267	42.96	
268	26.18	
269	94.03	
270	160.79	
271	97.12	
272	66.08	
273	134.32	
274	117.81	
275	68.68	
276	626.00	
277	91.26	
278	56.67	
279	36.53	
280	72.84	
281	57.55	
282	35.96	
283	43.17	
284	45.90	
285	53.80	
286	38.01	
287	49.53	
288	57.76	
289	36.53	
290	36.40	
291	62.47	
292	39.54	
293	82.13	
294	96.63	
295	322.16	
296	612.06	
297	136.02	
298	139.11	
299	78.76	
300	149.89	
301	69.61	
302	183.28	
303	232.76	
304	247.52	
305	37.95	
306	191.32	
307	286.94	
308	255.96	
309	575.03	
310	134.72	
311	107.78	
312	90.13	
313	201.53	
314	112.86	
315	34.92	
316	55.15	
317	399.16	
318	90.51	
319	51.47	
320	581.70	
===============Statistical report===============
Distr./um	Mean/um	Amount	Freq.
10-110	60	158	49.38%
110-210	160	58	18.13%
210-310	260	21	6.56%
310-410	360	23	7.19%
410-510	460	8	2.50%
510-610	560	16	5.00%
610-710	660	17	5.31%
710-810	760	9	2.81%
810-910	860	7	2.19%
910-1010	960	3	0.94%
********************************************************
 
