*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	330
Max./um	1191.21
Min./um	15.43
Mean/um	359.98
No.	Particle size/um
1	401.26	
2	510.44	
3	184.23	
4	293.81	
5	783.36	
6	194.94	
7	474.81	
8	624.76	
9	631.60	
10	442.46	
11	342.98	
12	81.44	
13	735.14	
14	121.00	
15	501.33	
16	668.53	
17	562.89	
18	134.07	
19	462.50	
20	403.24	
21	545.20	
22	329.84	
23	145.44	
24	204.43	
25	128.47	
26	258.58	
27	204.61	
28	175.91	
29	123.47	
30	213.63	
31	304.61	
32	242.36	
33	492.16	
34	318.43	
35	92.16	
36	92.40	
37	403.24	
38	623.01	
39	426.42	
40	699.48	
41	651.06	
42	653.77	
43	434.45	
44	465.67	
45	445.15	
46	605.43	
47	545.60	
48	143.50	
49	494.46	
50	518.75	
51	644.66	
52	587.87	
53	312.00	
54	510.44	
55	466.56	
56	589.93	
57	793.93	
58	153.43	
59	141.26	
60	268.14	
61	770.81	
62	406.66	
63	206.87	
64	604.33	
65	227.81	
66	226.72	
67	425.25	
68	589.76	
69	324.97	
70	149.97	
71	128.70	
72	282.91	
73	95.67	
74	122.40	
75	82.21	
76	194.03	
77	233.47	
78	166.93	
79	380.29	
80	74.84	
81	131.30	
82	142.21	
83	82.30	
84	346.36	
85	189.51	
86	317.11	
87	77.17	
88	159.18	
89	107.03	
90	89.94	
91	696.17	
92	356.23	
93	656.78	
94	334.14	
95	143.56	
96	142.28	
97	691.78	
98	783.90	
99	804.60	
100	489.80	
101	734.52	
102	178.76	
103	505.69	
104	314.74	
105	411.04	
106	187.60	
107	180.57	
108	145.52	
109	109.06	
110	184.17	
111	132.89	
112	240.04	
113	402.32	
114	162.89	
115	167.00	
116	497.88	
117	97.61	
118	218.35	
119	617.44	
120	712.30	
121	208.46	
122	476.39	
123	411.43	
124	542.22	
125	329.64	
126	317.28	
127	188.27	
128	311.96	
129	402.76	
130	421.35	
131	161.09	
132	65.31	
133	511.23	
134	434.00	
135	130.33	
136	191.43	
137	136.51	
138	1191.21	
139	908.84	
140	674.39	
141	693.43	
142	697.32	
143	236.07	
144	252.88	
145	749.37	
146	462.50	
147	475.98	
148	149.31	
149	249.29	
150	167.33	
151	263.41	
152	306.29	
153	537.70	
154	631.61	
155	601.25	
156	762.57	
157	726.19	
158	291.10	
159	268.56	
160	693.58	
161	241.58	
162	533.98	
163	590.78	
164	505.75	
165	788.70	
166	128.26	
167	207.07	
168	755.60	
169	495.56	
170	313.44	
171	124.43	
172	469.04	
173	418.38	
174	392.37	
175	86.51	
176	124.06	
177	84.27	
178	561.43	
179	153.59	
180	270.15	
181	470.31	
182	622.39	
183	178.75	
184	142.42	
185	95.70	
186	220.89	
187	391.04	
188	599.87	
189	596.15	
190	374.40	
191	604.46	
192	193.72	
193	325.84	
194	628.15	
195	464.10	
196	661.10	
197	464.52	
198	653.19	
199	323.00	
200	611.56	
201	471.05	
202	356.32	
203	664.09	
204	263.57	
205	483.52	
206	467.05	
207	563.18	
208	342.22	
209	386.77	
210	223.91	
211	498.56	
212	336.20	
213	443.36	
214	195.58	
215	232.88	
216	216.43	
217	564.97	
218	130.43	
219	132.90	
220	216.75	
221	55.62	
222	61.25	
223	193.33	
224	130.88	
225	415.02	
226	347.79	
227	92.35	
228	154.24	
229	410.30	
230	278.63	
231	91.90	
232	196.44	
233	151.34	
234	488.14	
235	723.53	
236	15.43	
237	298.53	
238	265.32	
239	133.80	
240	137.58	
241	128.77	
242	334.75	
243	404.01	
244	72.87	
245	159.06	
246	103.53	
247	101.69	
248	261.39	
249	1125.98	
250	137.83	
251	472.46	
252	563.56	
253	113.26	
254	64.74	
255	155.61	
256	109.12	
257	239.90	
258	81.78	
259	185.73	
260	329.29	
261	177.93	
262	72.77	
263	146.41	
264	533.07	
265	482.92	
266	411.40	
267	485.48	
268	477.75	
269	334.10	
270	194.20	
271	220.03	
272	111.62	
273	832.26	
274	477.53	
275	78.06	
276	92.59	
277	471.06	
278	569.63	
279	411.30	
280	659.90	
281	757.74	
282	604.86	
283	683.54	
284	629.11	
285	598.22	
286	191.09	
287	455.38	
288	510.32	
289	159.23	
290	278.23	
291	183.79	
292	489.19	
293	166.67	
294	153.36	
295	100.20	
296	275.91	
297	197.64	
298	193.81	
299	96.83	
300	151.78	
301	108.01	
302	147.10	
303	124.78	
304	237.42	
305	188.27	
306	109.10	
307	237.61	
308	135.90	
309	528.27	
310	475.14	
311	417.61	
312	484.07	
313	319.38	
314	334.55	
315	278.77	
316	469.59	
317	377.26	
318	607.43	
319	599.74	
320	458.74	
321	348.42	
322	177.36	
323	557.54	
324	727.93	
325	584.39	
326	774.01	
327	661.16	
328	436.52	
329	430.37	
330	626.67	
===============Statistical report===============
Distr./um	Mean/um	Amount	Freq.
15-132.7	73.85	50	15.15%
132.7-250.4	191.55	85	25.76%
250.4-368.1	309.25	45	13.64%
368.1-485.8	426.95	56	16.97%
485.8-603.5	544.65	40	12.12%
603.5-721.2	662.35	34	10.30%
721.2-838.9	780.0499	17	5.15%
838.9-956.6	897.75	1	0.30%
956.6-1074.3	1015.45	0	0.00%
1074.3-1192	1133.15	2	0.61%
********************************************************
*****by Jie Xu, Fudan Univ. Email:shine6832@163.com*****
