*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	235
Max./um	586.65
Min./um	53.97
Mean/um	255.93
No.	Particle size/um
1	170.96	
2	200.06	
3	232.55	
4	393.41	
5	191.64	
6	84.31	
7	202.95	
8	261.97	
9	405.69	
10	165.56	
11	130.38	
12	164.79	
13	103.05	
14	184.32	
15	267.39	
16	297.26	
17	287.25	
18	374.77	
19	400.75	
20	383.32	
21	212.59	
22	259.44	
23	168.67	
24	219.76	
25	358.30	
26	243.83	
27	144.72	
28	272.68	
29	450.27	
30	297.06	
31	241.12	
32	100.03	
33	395.63	
34	293.07	
35	205.93	
36	91.96	
37	257.63	
38	235.24	
39	263.55	
40	273.51	
41	166.97	
42	177.77	
43	412.90	
44	289.49	
45	224.01	
46	87.04	
47	236.59	
48	265.68	
49	123.68	
50	199.92	
51	206.70	
52	383.04	
53	380.20	
54	539.46	
55	392.95	
56	156.74	
57	366.95	
58	255.63	
59	227.21	
60	392.72	
61	386.46	
62	312.32	
63	179.49	
64	217.88	
65	237.74	
66	322.10	
67	253.82	
68	247.14	
69	272.43	
70	301.93	
71	207.40	
72	347.42	
73	137.63	
74	339.21	
75	339.84	
76	548.03	
77	200.85	
78	507.38	
79	586.65	
80	207.36	
81	134.90	
82	304.02	
83	154.64	
84	180.39	
85	235.87	
86	91.93	
87	117.85	
88	127.38	
89	239.06	
90	367.23	
91	375.03	
92	296.92	
93	123.08	
94	189.61	
95	160.25	
96	408.01	
97	188.91	
98	304.70	
99	226.91	
100	157.33	
101	292.03	
102	178.24	
103	266.73	
104	112.67	
105	206.25	
106	211.18	
107	127.94	
108	202.33	
109	371.43	
110	443.37	
111	297.13	
112	290.58	
113	190.80	
114	258.38	
115	259.19	
116	167.94	
117	199.14	
118	215.18	
119	577.59	
120	230.64	
121	273.75	
122	306.90	
123	226.50	
124	453.67	
125	394.30	
126	102.45	
127	357.88	
128	208.57	
129	170.72	
130	194.59	
131	95.50	
132	414.76	
133	298.94	
134	235.38	
135	338.93	
136	287.85	
137	492.63	
138	342.79	
139	200.84	
140	297.22	
141	461.02	
142	542.28	
143	191.47	
144	196.23	
145	188.49	
146	374.45	
147	314.81	
148	237.77	
149	88.54	
150	152.61	
151	146.70	
152	175.77	
153	249.97	
154	158.81	
155	202.08	
156	53.97	
157	381.52	
158	309.06	
159	125.93	
160	179.38	
161	153.45	
162	186.17	
163	391.28	
164	187.07	
165	237.24	
166	521.61	
167	274.27	
168	320.38	
169	351.35	
170	263.24	
171	229.51	
172	486.15	
173	200.79	
174	214.95	
175	215.18	
176	230.14	
177	91.78	
178	114.51	
179	103.68	
180	313.24	
181	251.59	
182	114.42	
183	241.07	
184	242.88	
185	389.19	
186	210.46	
187	255.21	
188	185.95	
189	212.59	
190	118.39	
191	275.14	
192	211.11	
193	317.56	
194	271.59	
195	101.44	
196	323.99	
197	380.79	
198	518.22	
199	141.03	
200	486.67	
201	199.46	
202	158.41	
203	301.64	
204	380.45	
205	230.65	
206	380.48	
207	271.03	
208	208.68	
209	199.64	
210	195.17	
211	189.78	
212	270.60	
213	183.25	
214	174.62	
215	154.61	
216	219.00	
217	323.12	
218	249.26	
219	295.41	
220	334.26	
221	81.92	
222	321.68	
223	308.56	
224	470.59	
225	210.63	
226	183.38	
227	117.90	
228	168.95	
229	158.35	
230	126.14	
231	98.56	
232	226.73	
233	254.10	
234	203.36	
235	524.42	
===============Statistical report===============
Distr./um	Mean/um	Amount	Freq.
53-106.4	79.7	15	6.38%
106.4-159.8	133.1	27	11.49%
159.8-213.2	186.5	57	24.26%
213.2-266.6	239.9	44	18.72%
266.6-320	293.3	35	14.89%
320-373.4	346.7	17	7.23%
373.4-426.8	400.1	23	9.79%
426.8-480.2	453.5	5	2.13%
480.2-533.6	506.9	7	2.98%
533.6-587	560.3	5	2.13%
********************************************************
 
