					
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
Pa	1/s	Pa.s	s	°C	Pa
0.00944736	0.00251317	3.75914	60.0454	24.997	-113.198
0.0114344	0.00399347	2.86328	80.1383	25.002	-114.251
0.0123827	0.00631355	1.96129	100.231	24.999	-114.219
0.0133831	0.00998616	1.34017	120.293	25.001	-114.52
0.0157224	0.015854	0.991699	140.354	24.998	-114.712
0.0176343	0.0251122	0.702221	160.369	24.999	-115.433
0.019372	0.0398069	0.48665	180.431	24.999	-116.185
0.0217477	0.0631024	0.344642	200.524	25.003	-115.788
0.0254828	0.0999994	0.254829	220.585	24.999	-116.636
0.031689	0.158495	0.199937	240.616	24.998	-116.722
0.0405739	0.251199	0.161521	260.646	25.005	-117.662
0.0518244	0.398111	0.130176	280.739	24.998	-118.788
0.0749099	0.630964	0.118723	300.801	25.006	-117.938
0.117281	1	0.117281	320.847	24.998	-117.738
0.182485	1.58493	0.115138	340.877	25.003	-119.767
0.28306	2.51186	0.112689	360.939	25.003	-122.541
0.447834	3.98112	0.11249	381.016	24.999	-121.633
0.706416	6.30962	0.111959	401.062	25	-121.266
1.11888	10.0001	0.111887	421.124	24.997	-121.639
1.77315	15.849	0.111878	441.17	25.003	-122.727
2.80925	25.119	0.111838	461.231	24.999	-122.54
4.4569	39.8108	0.111952	481.293	24.998	-121.293
7.07546	63.0966	0.112137	501.323	24.999	-121.785
11.2441	100.002	0.112439	521.369	25.002	-122.037
