Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	1000	1666.9	1667.1		27.877	Sdy,Dy_auto
2	631	1108.6	1757.2		18.541	Sdy,Dy_auto
3	398	734.93	1846.1		12.291	Sdy,Dy_auto
4	251	482.64	1921.4		8.0717	Sdy,Dy_auto
5	158	312.93	1974.5		5.2335	Sdy,Dy_auto
6	100	200.88	2008.8		3.3596	Sdy,Dy_auto
7	63.1	128.09	2030.1		2.1423	Sdy,Dy_auto
8	39.8	81.414	2045		1.3616	Sdy,Dy_auto
9	25.1	51.66	2056.6		0.86397	Sdy,Dy_auto
10	15.8	32.709	2063.8		0.54703	Sdy,Dy_auto
11	10	20.702	2070.2		0.34623	Sdy,Dy_auto
12	6.31	13.102	2076.5		0.21911	Sdy,Dy_auto
13	3.98	8.2886	2082		0.13862	Sdy,Dy_auto
14	2.51	5.2456	2088.3		0.08773	Sdy,Dy_auto
15	1.58	3.339	2106.8		0.05584	Sdy,Dy_auto
16	1	2.1348	2134.8		0.0357	Sdy,Dy_auto
17	0.631	1.3754	2179.8		0.023	Sdy,Dy_auto
18	0.398	0.89961	2259.7		0.01504	Sdy,Dy_auto
19	0.251	0.59694	2376.5		0.00998	Sdy,Dy_auto
20	0.158	0.40201	2536.4		0.00672	Sdy,Dy_auto
21	0.1	0.27754	2775.3		0.00464	Sdy,Dy_auto
22	0.0631	0.19879	3150.6		0.00332	Sdy,Dy_auto
23	0.0398	0.14983	3763.4		0.00251	Sdy,Dy_auto
24	0.0251	0.11864	4723.2		0.00198	Sdy,Dy_auto
25	0.0158	0.10026	6326.7		0.00168	Sdy,Dy_auto
26	0.01	0.08872	8873.2		0.00148	Sdy,Dy_auto
