Point No.	Time	Shear Rate	Shear Stress	Viscosity	Torque	Status
--	[s]	[1/s]	[Pa]	[mPa·s]	[mN·m]	--
1	14.102	1000	585.35	585.5	9.7896	Sdy,Dy_auto
2	28.204	794	470.18	592	7.8634	Sdy,Dy_auto
3	42.306	631	378.78	600.4	6.3348	Sdy,Dy_auto
4	56.408	501	306.43	611.4	5.1248	Sdy,Dy_auto
5	70.51	398	247.77	622.4	4.1438	Sdy,Dy_auto
6	84.613	316	199.65	631.4	3.339	Sdy,Dy_auto
7	98.715	251	161.15	641.5	2.695	Sdy,Dy_auto
8	112.818	200	129.9	651	2.1724	Sdy,Dy_auto
9	126.92	158	104.68	660.5	1.7507	Sdy,Dy_auto
10	141.023	126	84.271	669.4	1.4094	Sdy,Dy_auto
11	155.125	100	67.745	677.4	1.133	Sdy,Dy_auto
12	169.228	79.4	54.443	685.4	0.91051	Sdy,Dy_auto
13	183.33	63.1	43.719	692.9	0.73117	Sdy,Dy_auto
14	197.433	50.1	35.247	703.3	0.58947	Sdy,Dy_auto
15	211.535	39.8	28.318	711.3	0.4736	Sdy,Dy_auto
16	225.638	31.6	22.675	717	0.37922	Sdy,Dy_auto
17	239.74	25.1	18.295	728.3	0.30597	Sdy,Dy_auto
18	253.843	20	14.647	734.1	0.24496	Sdy,Dy_auto
19	267.945	15.8	11.851	747.8	0.1982	Sdy,Dy_auto
20	282.048	12.6	9.4865	753.5	0.15865	Sdy,Dy_auto
21	296.15	10	7.6179	761.8	0.1274	Sdy,Dy_auto
22	310.253	7.94	6.1242	771	0.10242	Sdy,Dy_auto
23	324.355	6.31	4.9375	782.5	0.08257	Sdy,Dy_auto
24	338.458	5.01	3.9987	797.9	0.06688	Sdy,Dy_auto
25	352.56	3.98	3.2498	816.3	0.05435	Sdy,Dy_auto
26	366.662	3.16	2.6558	839.8	0.04442	Sdy,Dy_auto
27	380.764	2.51	2.1685	863.3	0.03627	Sdy,Dy_auto
28	394.868	2	1.776	890.1	0.0297	Sdy,Dy_auto
29	408.97	1.58	1.4545	917.7	0.02432	Sdy,Dy_auto
30	423.073	1.26	1.1829	939.6	0.01978	Sdy,Dy_auto
31	437.174	1	0.97117	971.2	0.01624	Sdy,Dy_auto
32	451.277	0.794	0.80148	1009	0.0134	Sdy,Dy_auto
33	465.38	0.631	0.66845	1059.4	0.01118	Sdy,Dy_auto
34	479.483	0.501	0.56214	1121.6	0.0094	Sdy,Dy_auto
35	493.585	0.398	0.47926	1203.9	0.00802	Sdy,Dy_auto
36	507.688	0.316	0.40871	1292.4	0.00684	Sdy,Dy_auto
37	521.79	0.251	0.35451	1411.3	0.00593	Sdy,Dy_auto
38	535.893	0.2	0.31079	1557.6	0.0052	Sdy,Dy_auto
39	553.994	0.158	0.27615	1742.3	0.00462	Sdy,Dy_auto
40	568.096	0.126	0.2468	1960.5	0.00413	Sdy,Dy_auto
41	586.197	0.1	0.22583	2258.3	0.00378	Sdy,Dy_auto
42	600.873	0.0794	0.20513	2582.4	0.00343	Sdy,Dy_auto
43	616.166	0.0631	0.18891	2993.8	0.00316	Sdy,Dy_auto
44	637.032	0.0501	0.1787	3565.8	0.00299	Sdy,Dy_auto
45	658.966	0.0398	0.17105	4296.2	0.00286	Sdy,Dy_auto
46	676.388	0.0316	0.16289	5150.9	0.00272	Sdy,Dy_auto
47	706.761	0.0251	0.15907	6332	0.00266	Sdy,Dy_auto
48	725.853	0.0199	0.15338	7688.6	0.00257	Sdy,Dy_auto
49	766.803	0.0158	0.15439	9740.8	0.00258	Sdy,Dy_auto
50	787.832	0.0126	0.15025	11935.7	0.00251	Sdy,Dy_auto
51	809.904	0.01	0.14931	14927	0.0025	Sdy,Dy_auto
52	833.11	0.00794	0.14833	18672.7	0.00248	Sdy,Dy_auto
53	894.475	0.00631	0.15646	24795	0.00262	Sdy,Dy_auto
54	920.098	0.00501	0.15523	30978	0.0026	Sdy,Dy_auto
55	978.948	0.00398	0.16134	40526.5	0.0027	Sdy,Dy_auto
56	1030.213	0.00316	0.16563	52383.6	0.00277	Sdy,Dy_auto
57	1072.736	0.00251	0.16812	66938.8	0.00281	Sdy,Dy_auto
58	1105.089	0.00199	0.16921	84822.4	0.00283	Sdy,Dy_auto
59	1139.601	0.00158	0.17017	107412.9	0.00285	Sdy,Dy_auto
60	1175.532	0.00126	0.1721	136767.6	0.00288	Sdy,Dy_auto
61	1213.881	0.001	0.17316	173123.4	0.0029	Sdy,Dy_auto
62	1254.529	7.95E-4	0.17463	219628.5	0.00292	Sdy,Dy_auto
63	1296.487	6.31E-4	0.17697	280400.6	0.00296	Sdy,Dy_auto
64	1361.121	5.01E-4	0.17892	357278.7	0.00299	Sdy,Dy_auto
65	1409.752	3.98E-4	0.17943	450366.7	0.003	Sdy,Dy_auto
66	1462.836	3.17E-4	0.18134	572833	0.00303	Sdy,Dy_auto
67	1515.641	2.51E-4	0.18199	724432.7	0.00304	Sdy,Dy_auto
68	1590.722	2E-4	0.18224	911940.4	0.00305	Sdy,Dy_auto
69	1652.794	1.58E-4	0.18325	1.16074E6	0.00306	Sdy,Dy_auto
70	1714.661	1.26E-4	0.18377	1.45987E6	0.00307	Sdy,Dy_auto
71	1784.787	9.93E-5	0.1842	1.85517E6	0.00308	Sdy,Dy_auto
