Frequency	Storage Modulus	Loss Modulus
[rad/s]	[Pa]	[Pa]
0.628	5.6489	81.561
0.79128	7.6833	69.05
0.99224	8.7211	58.619
1.256	9.239	49.861
1.57628	9.3776	42.771
1.98448	9.4264	36.577
2.49944	9.3257	31.2
3.14628	9.2043	26.648
3.96268	9.0515	22.79
4.98632	8.8465	19.512
6.28	8.5864	16.751
7.9128	8.5184	14.292
9.9224	8.1759	12.389
12.56	8.0041	10.682
15.7628	7.8118	9.2539
19.8448	7.6265	8.0174
24.9944	7.4565	6.9724
31.4628	7.338	6.0935
39.6268	7.1908	5.3258
49.8632	7.057	4.6913
62.8	6.9791	4.1361
79.128	6.8354	3.6533
99.224	6.8312	3.2948
125.6	6.6431	2.9135
157.628	6.5673	2.6599
198.448	6.4873	2.4013
249.944	6.3973	2.1745
314.628	6.3693	1.9662
396.268	6.3362	1.8108
498.632	6.2592	1.6913
628	6.2439	1.5483
