Time (s)	Shear rate (1/s), Domain Probe 1	maximum_linear_speed_of_object, Domain Probe 2
0.0000	0.016226	NaN
5.4932E-8	0.012930	NaN
1.0986E-7	0.012565	NaN
2.1973E-7	0.013336	NaN
3.2959E-7	0.010678	NaN
5.4932E-7	0.013425	NaN
7.6905E-7	0.020533	NaN
1.2085E-6	0.039050	NaN
1.6480E-6	0.052014	NaN
2.0874E-6	0.059717	NaN
2.9663E-6	0.068126	NaN
3.8452E-6	0.10079	NaN
4.7241E-6	0.24105	NaN
6.4820E-6	1.4232	NaN
8.2398E-6	4.1501	NaN
9.9976E-6	8.5247	NaN
1.3513E-5	20.114	NaN
1.7029E-5	33.234	NaN
2.0545E-5	45.676	NaN
2.7576E-5	65.193	NaN
3.4607E-5	78.413	NaN
4.1638E-5	86.756	NaN
5.5701E-5	95.830	NaN
6.9764E-5	98.513	NaN
8.3826E-5	98.297	NaN
1.1195E-4	95.616	NaN
1.4008E-4	91.366	NaN
1.6820E-4	87.003	NaN
1.9633E-4	82.972	NaN
2.5258E-4	76.036	NaN
3.0883E-4	70.299	NaN
3.2289E-4	69.037	NaN
3.5102E-4	66.665	NaN
4.0727E-4	62.469	NaN
5.1977E-4	76.705	NaN
6.3227E-4	107.32	NaN
8.5727E-4	183.05	NaN
9.2432E-4	207.55	NaN
0.0010584	262.94	NaN
0.0011925	321.03	NaN
0.0014607	446.45	NaN
0.0015397	484.34	NaN
0.0016975	563.25	NaN
0.0020133	727.19	NaN
0.0021012	774.33	NaN
0.0022771	869.84	NaN
0.0024529	967.80	NaN
0.0025168	998.18	NaN
0.0025168	864.71	NaN
0.0025208	677.48	NaN
0.0025248	574.26	NaN
0.0025328	475.67	NaN
0.0025348	453.89	NaN
0.0025388	420.44	NaN
0.0025468	382.79	NaN
0.0025508	360.09	NaN
0.0025587	331.32	NaN
0.0025627	319.09	NaN
0.0025707	300.41	NaN
0.0025747	292.15	NaN
0.0025827	280.43	NaN
0.0025867	273.74	NaN
0.0025947	264.64	NaN
0.0025987	259.60	NaN
0.0026067	252.51	NaN
0.0026107	248.65	NaN
0.0026186	243.26	NaN
0.0026346	253.31	NaN
0.0026386	242.06	NaN
0.0026466	234.62	NaN
0.0026626	240.04	NaN
0.0026666	231.64	NaN
0.0026745	225.87	NaN
0.0026905	229.40	NaN
0.0027224	253.68	NaN
0.0027244	240.07	NaN
0.0027284	231.19	NaN
0.0027364	223.37	NaN
0.0027524	223.18	NaN
0.0027843	241.05	NaN
0.0027863	230.46	NaN
0.0027903	223.46	NaN
0.0027983	217.23	NaN
0.0028143	216.27	NaN
0.0028223	211.32	NaN
0.0028263	209.90	NaN
0.0028342	208.01	NaN
0.0028502	208.65	NaN
0.0028822	220.00	NaN
0.0028901	210.48	NaN
0.0029061	208.46	NaN
0.0029381	217.25	NaN
0.0029460	208.82	NaN
0.0029620	206.74	NaN
0.0029940	213.96	NaN
0.0030578	223.27	NaN
0.0031856	233.47	NaN
0.0034411	244.79	NaN
0.0036967	253.31	NaN
0.0038244	257.28	NaN
0.0040800	263.49	NaN
0.0042077	266.81	NaN
0.0044633	272.38	NaN
0.0045910	275.48	NaN
0.0048466	280.83	NaN
0.0049743	283.84	NaN
0.0052299	289.09	NaN
0.0057409	299.68	NaN
0.0059965	305.84	NaN
0.0059965	294.21	NaN
0.0060201	279.51	NaN
0.0060438	276.50	NaN
0.0060911	281.17	NaN
0.0061858	285.45	NaN
0.0063751	290.40	NaN
0.0064698	292.70	NaN
0.0066591	296.61	NaN
0.0070377	303.99	NaN
0.0072271	308.09	NaN
0.0073217	310.02	NaN
0.0075110	313.60	NaN
0.0076057	315.52	NaN
0.0077950	319.07	NaN
0.0078897	320.98	NaN
0.0080790	324.50	NaN
0.0081737	326.40	NaN
0.0083630	329.97	NaN
0.0087416	337.27	NaN
0.0089310	341.35	NaN
0.0090256	343.28	NaN
0.0092150	346.89	NaN
0.0093096	348.82	NaN
0.0094989	352.42	NaN
0.0094989	338.13	NaN
0.0095502	342.70	NaN
0.0096015	343.56	NaN
0.0097040	345.92	NaN
0.0099091	349.88	NaN
0.010012	351.93	NaN
0.010217	355.61	NaN
0.010627	362.85	NaN
0.010832	366.88	NaN
0.010935	368.81	NaN
0.011140	372.36	NaN
0.011242	374.29	NaN
0.011447	377.94	NaN
0.011550	379.90	NaN
0.011755	383.54	NaN
0.011858	385.48	NaN
0.012063	389.09	NaN
0.012165	391.02	NaN
0.012370	394.60	NaN
0.012473	396.52	NaN
0.012678	400.07	NaN
0.012780	401.97	NaN
0.012986	405.49	NaN
0.013396	412.53	NaN
0.013396	400.10	NaN
0.013434	399.26	NaN
0.013445	386.82	NaN
0.013467	384.78	NaN
0.013511	388.92	NaN
0.013599	392.37	NaN
0.013776	396.19	NaN
0.014129	402.33	NaN
0.014306	405.51	NaN
0.014659	411.08	NaN
0.014835	414.11	NaN
0.015188	419.53	NaN
0.015365	422.49	NaN
0.015453	423.88	NaN
0.015630	426.54	NaN
0.015983	431.82	NaN
0.016159	434.71	NaN
0.016512	439.89	NaN
0.017219	450.04	NaN
0.017219	438.20	NaN
0.017395	443.24	NaN
0.017540	445.41	NaN
0.017828	449.39	NaN
0.017973	451.52	NaN
0.018262	455.40	NaN
0.018406	457.49	NaN
0.018695	461.29	NaN
0.018839	463.35	NaN
0.019128	467.09	NaN
0.019273	469.11	NaN
0.019562	472.79	NaN
0.019706	474.78	NaN
0.019995	478.40	NaN
0.020139	480.35	NaN
0.020428	483.90	NaN
0.020573	485.82	NaN
0.020861	489.31	NaN
0.021006	491.19	NaN
0.021295	494.65	NaN
0.021295	479.68	NaN
0.021545	485.93	NaN
0.021727	488.14	NaN
0.021818	489.17	NaN
0.022001	491.16	NaN
0.022092	492.17	NaN
0.022274	494.12	NaN
0.022365	495.11	NaN
0.022548	497.03	NaN
0.022639	498.00	NaN
0.022821	499.89	NaN
0.022912	500.85	NaN
0.023095	502.71	NaN
0.023186	503.66	NaN
0.023368	505.49	NaN
0.023460	506.42	NaN
0.023642	508.23	NaN
0.023733	509.15	NaN
0.023915	510.93	NaN
0.024007	511.83	NaN
0.024189	513.62	NaN
0.024280	514.51	NaN
0.024463	516.30	NaN
0.024554	517.18	NaN
0.024736	518.94	NaN
0.024827	519.80	NaN
0.025010	521.54	NaN
0.025374	524.94	NaN
0.025374	512.83	NaN
0.025466	514.64	NaN
0.025557	515.38	NaN
0.025739	516.90	NaN
0.026104	519.78	NaN
0.026286	521.29	NaN
0.026651	524.02	NaN
0.026833	525.46	NaN
0.027198	528.06	NaN
0.027380	529.43	NaN
0.027472	530.04	NaN
0.027654	531.29	NaN
0.028019	533.79	NaN
0.028201	535.10	NaN
