Time (s)	Shear rate (1/s), Domain Probe 1
0.0000	3.9762
4.4511E-8	3.5138
8.9022E-8	3.2659
1.7804E-7	3.0048
3.5609E-7	2.6674
5.3413E-7	2.4568
8.9022E-7	2.1672
1.2463E-6	1.9880
1.6024E-6	1.8582
2.3146E-6	1.6592
3.0268E-6	1.5210
4.4511E-6	1.3322
5.8755E-6	4.7939
7.2998E-6	11.797
1.0149E-5	37.527
1.2997E-5	75.085
1.5846E-5	118.33
2.1543E-5	198.94
2.7241E-5	264.76
3.2938E-5	312.82
4.4333E-5	372.18
5.5728E-5	398.93
6.7123E-5	408.52
8.9913E-5	410.40
1.1270E-4	399.10
1.3549E-4	384.27
1.5828E-4	369.39
2.0386E-4	342.89
2.4488E-4	322.15
2.5514E-4	317.42
2.7565E-4	308.43
3.1667E-4	292.10
3.5769E-4	277.72
4.3974E-4	260.05
5.2178E-4	295.57
6.8586E-4	428.35
7.3058E-4	483.06
8.2000E-4	600.25
9.9884E-4	871.58
0.0011777	1188.5
0.0013565	1542.0
0.0013565	1442.7
0.0013677	1349.9
0.0013773	1278.7
0.0013964	1317.9
0.0013976	1202.5
0.0014000	1116.2
0.0014048	1036.8
0.0014143	1053.5
0.0014167	988.92
0.0014215	942.54
0.0014311	960.88
0.0014335	919.51
0.0014383	889.66
0.0014478	905.69
0.0014502	876.72
0.0014550	855.72
0.0014646	869.38
0.0014837	921.03
0.0014849	889.86
0.0014873	866.81
0.0014921	845.68
0.0015016	852.48
0.0015208	893.09
0.0015220	868.76
0.0015244	850.55
0.0015291	833.95
0.0015387	838.75
0.0015578	872.36
0.0015590	853.69
0.0015614	839.55
0.0015662	826.85
0.0015758	830.68
0.0015949	858.92
0.0016332	889.47
0.0017097	927.23
0.0018627	983.29
0.0021689	1078.6
0.0021689	1075.3
0.0022081	1093.5
0.0022393	1102.9
0.0023019	1121.7
0.0024269	1158.9
0.0024894	1180.0
0.0026145	1215.5
0.0026770	1235.8
0.0028021	1270.1
0.0028646	1289.7
0.0029897	1324.1
0.0029897	1305.7
0.0030210	1326.4
0.0030522	1335.6
0.0031147	1353.6
0.0032398	1387.5
0.0033023	1406.6
0.0034274	1438.9
0.0034899	1457.2
0.0036150	1489.1
0.0036775	1507.3
0.0038026	1538.7
0.0038651	1556.4
0.0038651	1542.2
0.0038846	1547.2
