Time (s)	Shear rate (1/s), Domain Probe 1
0.0000	5.4783
2.5376E-8	4.7991
5.0751E-8	4.3548
1.0150E-7	3.7094
1.5225E-7	3.3634
2.5376E-7	3.0034
3.5526E-7	2.7972
5.5827E-7	2.4986
7.6127E-7	2.3068
9.6428E-7	2.1654
1.3703E-6	1.9454
1.7763E-6	1.7934
2.5883E-6	1.5787
3.4003E-6	1.4442
4.2124E-6	1.3448
5.8364E-6	2.9103
7.4605E-6	9.8635
9.0845E-6	22.542
1.2333E-5	60.916
1.5581E-5	108.64
1.8829E-5	156.89
2.5325E-5	236.53
3.1821E-5	293.79
4.4813E-5	361.09
5.7806E-5	387.78
7.0798E-5	394.54
8.3791E-5	392.56
1.0978E-4	382.00
1.3576E-4	366.55
1.6174E-4	350.59
1.8773E-4	335.57
2.1371E-4	321.84
2.2671E-4	315.43
2.5269E-4	303.46
2.7868E-4	292.50
3.3065E-4	273.02
3.8261E-4	256.41
4.8655E-4	286.61
5.1697E-4	317.27
5.7779E-4	388.69
6.9943E-4	555.33
7.3267E-4	602.27
7.9914E-4	709.40
9.3207E-4	944.96
9.6765E-4	1008.6
0.0010388	1149.4
0.0011100	1294.1
0.0012523	1605.4
0.0012523	1433.1
0.0012567	1207.5
0.0012612	1097.5
0.0012701	1097.2
0.0012723	1019.8
0.0012767	959.21
0.0012856	968.86
0.0012879	921.50
0.0012923	885.26
0.0013012	895.10
0.0013034	864.01
0.0013079	839.72
0.0013168	848.57
0.0013190	826.80
0.0013234	809.85
0.0013323	817.67
0.0013501	869.45
0.0013512	841.59
0.0013535	821.50
0.0013579	802.81
0.0013668	804.59
0.0013846	844.64
0.0013857	822.94
0.0013879	807.18
0.0013924	792.61
0.0014013	793.54
0.0014191	826.22
0.0014202	809.69
0.0014224	797.62
0.0014268	786.73
0.0014357	787.60
0.0014535	814.68
0.0014891	845.53
0.0015603	883.62
0.0017026	939.10
0.0017737	967.70
0.0019161	1015.7
0.0022007	1105.5
0.0022007	1082.4
0.0022185	1078.1
0.0022363	1081.5
0.0022720	1095.6
0.0023433	1119.1
0.0024859	1163.8
0.0027710	1249.0
0.0029136	1296.3
0.0029136	1273.8
0.0029529	1287.9
0.0029854	1297.4
0.0030503	1316.7
0.0031802	1354.6
0.0034401	1428.3
0.0035700	1469.1
0.0038298	1542.4
0.0038298	1499.8
0.0038871	1528.1
0.0039302	1540.9
0.0040164	1564.3
0.0041889	1609.5
0.0042752	1634.3
0.0044476	1678.9
0.0046201	1725.2
0.0046201	1690.6
0.0046647	1705.9
0.0047003	1714.6
0.0047715	1732.2
0.0049140	1766.0
0.0051991	1832.4
0.0053416	1867.9
0.0053416	1836.7
0.0053815	1848.8
0.0054149	1855.7
0.0054815	1870.1
0.0056148	1897.8
0.0058814	1952.5
0.0060147	1981.8
0.0062813	2033.5
0.0062813	1977.7
0.0063404	2000.0
0.0063857	2008.7
0.0064761	2024.5
0.0066570	2054.5
0.0067474	2070.2
0.0069283	2098.9
0.0071092	2127.5
0.0071092	2081.8
0.0071559	2096.0
0.0071932	2101.1
0.0072678	2111.2
0.0074170	2130.2
0.0077155	2165.1
0.0078647	2183.2
0.0078647	2138.3
0.0079064	2151.8
0.0079412	2155.3
0.0080106	2162.4
0.0081495	2175.2
0.0084272	2197.0
0.0085661	2206.9
0.0088438	2226.2
0.0088438	2163.5
0.0088750	2175.9
0.0089063	2177.8
0.0089688	2181.4
0.0090938	2186.8
0.0093438	2194.5
0.0094688	2196.9
0.0097188	2200.7
0.0097188	2143.8
0.0097845	2156.6
0.0098376	2156.7
0.0099436	2156.3
0.010156	2153.5
0.010262	2150.5
0.010474	2144.8
0.010686	2136.7
0.010686	2089.8
0.010701	2071.0
0.010715	2067.7
0.010744	2071.1
0.010803	2071.0
0.010919	2066.0
0.011152	2051.5
0.011269	2041.7
0.011502	2023.5
0.011502	1977.8
0.011573	1982.4
0.011634	1976.6
0.011755	1965.0
0.011816	1957.8
0.011938	1945.1
0.012182	1917.5
0.012304	1900.7
0.012547	1869.9
0.012547	1817.1
0.012583	1821.7
0.012620	1816.9
0.012692	1807.2
0.012838	1786.2
0.012911	1773.6
0.013056	1751.3
0.013347	1704.6
0.013492	1676.2
0.013492	1641.7
0.013565	1633.0
0.013621	1622.6
0.013732	1602.3
0.013955	1560.1
0.014067	1535.6
0.014290	1492.2
0.014513	1444.9
0.014513	1407.9
0.014531	1401.3
0.014549	1396.6
0.014585	1391.0
0.014658	1377.0
0.014803	1346.6
0.014875	1328.6
0.015020	1296.8
0.015310	1231.4
0.015455	1192.3
0.015527	1173.1
0.015527	1151.5
0.015599	1138.6
0.015665	1122.1
0.015795	1090.9
0.016056	1029.3
0.016186	992.58
0.016447	930.11
0.016447	898.61
0.016487	898.86
0.016527	889.29
0.016607	870.25
0.016767	830.98
0.016847	807.68
0.017007	768.69
0.017327	689.82
0.017487	643.39
0.017487	627.66
0.017527	623.48
0.017556	615.53
0.017613	602.01
0.017727	574.43
0.017956	519.69
0.018070	488.10
0.018298	512.52
0.018527	572.89
0.018527	575.30
0.018546	570.18
0.018565	574.13
0.018603	584.40
0.018679	604.03
0.018831	642.43
0.019135	721.24
0.019287	766.99
0.019591	846.50
0.019591	839.40
0.019632	847.81
0.019673	859.19
0.019755	880.90
0.019918	923.74
0.020245	1010.6
0.020409	1060.0
0.020490	1084.7
0.020654	1127.6
0.020654	1112.3
0.020779	1140.0
0.020875	1166.8
0.021068	1216.6
0.021164	1244.6
0.021357	1294.4
0.021550	1346.7
0.021646	1374.7
0.021646	1356.2
0.021694	1360.3
0.021737	1370.8
0.021822	1391.7
0.021993	1434.3
0.022078	1457.7
0.022249	1499.1
0.022419	1541.4
0.022419	1524.5
0.022544	1548.1
0.022640	1570.6
0.022830	1614.0
0.022926	1637.7
0.023116	1679.6
0.023307	1721.9
0.023402	1744.2
0.023402	1720.0
0.023450	1722.1
0.023490	1730.5
0.023571	1746.9
0.023733	1779.1
0.024057	1840.7
0.024219	1873.0
0.024219	1850.0
0.024300	1858.6
0.024363	1869.9
0.024488	1891.4
0.024738	1932.3
0.024864	1953.6
0.025114	1991.2
0.025114	1960.2
0.025156	1964.8
0.025197	1970.3
0.025280	1981.4
0.025446	2003.9
0.025529	2015.5
0.025696	2036.3
0.025862	2056.5
0.026194	2092.6
0.026194	2055.1
0.026217	2051.8
0.026240	2053.4
0.026285	2057.9
0.026377	2066.4
0.026560	2082.1
0.026926	2109.1
0.027110	2121.2
0.027201	2126.9
0.027201	2093.4
0.027247	2090.1
0.027282	2091.2
0.027351	2094.2
0.027490	2100.0
0.027767	2109.5
0.027906	2112.8
0.028184	2117.5
0.028184	2076.1
0.028223	2077.4
0.028263	2077.5
0.028343	2077.8
0.028502	2077.5
0.028821	2073.3
0.028980	2068.5
0.028980	2039.1
0.029060	2034.1
0.029121	2031.3
0.029243	2026.7
0.029488	2015.4
0.029611	2007.4
0.029856	1992.7
0.029856	1957.9
0.029899	1956.2
0.029943	1952.7
0.030030	1945.9
0.030204	1931.4
0.030552	1900.0
0.030726	1880.0
0.030813	1869.6
0.030813	1844.8
0.030856	1834.0
0.030895	1828.8
0.030971	1820.0
0.031125	1801.8
0.031433	1762.0
0.031587	1737.9
0.031894	1693.0
0.031894	1654.6
0.031941	1651.6
0.031987	1644.2
0.032080	1629.6
0.032265	1599.2
0.032358	1581.3
0.032544	1549.1
0.032729	1514.3
0.032822	1495.2
0.032822	1478.8
0.032868	1465.7
0.032910	1457.4
0.032994	1441.6
0.033161	1409.1
0.033244	1390.1
0.033411	1356.8
0.033495	1337.6
0.033662	1303.9
0.033662	1287.9
0.033787	1260.5
0.033896	1235.6
0.034115	1189.4
0.034224	1162.0
0.034442	1114.2
0.034661	1062.3
0.034770	1033.2
0.034770	1021.2
0.034825	1005.7
0.034874	993.54
0.034972	970.81
0.035169	925.20
0.035267	899.15
0.035464	854.08
0.035661	805.08
0.035759	777.82
0.035759	771.71
0.035808	758.13
0.035858	745.90
0.035956	722.91
