Time (s)	maximum_linear_speed_of_object (m/s), Domain Probe 2
0.0000	1.6521E-8
5.4950E-8	1.2287E-8
1.0990E-7	1.1055E-8
2.1980E-7	1.0956E-8
3.2970E-7	7.9531E-9
5.4950E-7	4.9802E-9
7.6930E-7	4.6125E-9
1.2089E-6	7.2699E-9
1.6485E-6	1.0909E-8
2.0881E-6	1.4871E-8
2.9673E-6	2.2358E-8
3.8465E-6	2.7102E-8
4.7257E-6	2.9502E-8
6.4841E-6	3.1561E-8
8.2426E-6	3.2052E-8
1.0001E-5	3.3999E-8
1.3518E-5	3.6058E-8
1.7035E-5	3.5787E-8
2.0551E-5	3.5030E-8
2.2310E-5	3.4526E-8
2.5827E-5	3.4543E-8
3.2860E-5	3.5325E-8
3.9894E-5	3.2250E-8
5.3961E-5	1.6629E-7
6.8029E-5	8.5074E-7
8.2096E-5	2.8095E-6
9.6163E-5	7.1230E-6
1.2430E-4	2.9018E-5
1.5243E-4	7.2632E-5
1.8057E-4	1.4014E-4
1.9463E-4	1.8343E-4
2.2277E-4	2.8523E-4
2.7904E-4	5.2445E-4
3.3531E-4	7.8402E-4
3.9158E-4	0.0010436
5.0411E-4	0.0015522
6.1665E-4	0.0020563
8.4173E-4	0.0030677
9.0924E-4	0.0033553
0.0010443	0.0039498
0.0011793	0.0045351
0.0014493	0.0057123
0.0015291	0.0060452
0.0016887	0.0067319
0.0020078	0.0081031
0.0020969	0.0084717
0.0022752	0.0092328
0.0024534	0.0099876
0.0025183	0.010227
0.0025183	0.010111
0.0025224	0.0094770
0.0025264	0.0089624
0.0025345	0.0082286
0.0025366	0.0080569
0.0025406	0.0077568
0.0025487	0.0072950
0.0025528	0.0070714
0.0025609	0.0067023
0.0025650	0.0065318
0.0025731	0.0062482
0.0025771	0.0061114
0.0025852	0.0058794
0.0025893	0.0057676
0.0025974	0.0055747
0.0026015	0.0054816
0.0026096	0.0053188
0.0026258	0.0051538
0.0026299	0.0050709
0.0026380	0.0049354
0.0026542	0.0047932
0.0026582	0.0047285
0.0026664	0.0046216
0.0026826	0.0045026
0.0027150	0.0044670
0.0027171	0.0044278
0.0027211	0.0043660
0.0027292	0.0042702
0.0027454	0.0041648
0.0027779	0.0041328
0.0027799	0.0041024
0.0027840	0.0040547
0.0027860	0.0040328
0.0027901	0.0039946
0.0027921	0.0039765
0.0027961	0.0039438
0.0028043	0.0038877
0.0028083	0.0038612
0.0028164	0.0038145
0.0028327	0.0037529
0.0028651	0.0037305
0.0028732	0.0036759
0.0028894	0.0036152
0.0029219	0.0035943
0.0029300	0.0035472
0.0029462	0.0034946
0.0029787	0.0034761
0.0029868	0.0034371
0.0030030	0.0033929
0.0030354	0.0033769
0.0031003	0.0033742
0.0032301	0.0033744
0.0034897	0.0033759
0.0036195	0.0033743
0.0038791	0.0033755
0.0040089	0.0033738
