Time (s)	maximum_linear_speed_of_object (m/s), Domain Probe 2
0.0000	4.2471E-7
2.5376E-8	3.4229E-7
5.0751E-8	3.1528E-7
1.0150E-7	3.4308E-7
1.5225E-7	3.5443E-7
2.5376E-7	3.4089E-7
3.5526E-7	3.3938E-7
5.5827E-7	3.5330E-7
7.6127E-7	3.4921E-7
9.6428E-7	3.4281E-7
1.3703E-6	3.3635E-7
1.7763E-6	3.2464E-7
2.5883E-6	2.9561E-7
3.4003E-6	3.1430E-7
4.2124E-6	3.3991E-7
5.8364E-6	3.6835E-7
7.4605E-6	3.7694E-7
9.0845E-6	3.7586E-7
1.2333E-5	3.6717E-7
1.5581E-5	3.5429E-7
1.8829E-5	3.4016E-7
2.5325E-5	3.1280E-7
3.1821E-5	2.9126E-7
4.4813E-5	4.2891E-7
5.7806E-5	1.3799E-6
7.0798E-5	4.6085E-6
8.3791E-5	1.2657E-5
1.0978E-4	6.2527E-5
1.3576E-4	1.7476E-4
1.6174E-4	3.6030E-4
1.8773E-4	5.8023E-4
2.1371E-4	7.6581E-4
2.2671E-4	0.0010023
2.5269E-4	0.0014941
2.7868E-4	0.0020144
3.3065E-4	0.0030123
3.8261E-4	0.0040109
4.8655E-4	0.0060054
5.1697E-4	0.0065659
5.7779E-4	0.0077129
6.9943E-4	0.0099993
7.3267E-4	0.010584
7.9914E-4	0.011806
9.3207E-4	0.014236
9.6765E-4	0.014839
0.0010388	0.016111
0.0011100	0.017355
0.0012523	0.019867
0.0012523	0.019685
0.0012567	0.018810
0.0012612	0.018142
0.0012701	0.017612
0.0012723	0.017322
0.0012767	0.016864
0.0012856	0.016458
0.0012879	0.016254
0.0012923	0.015923
0.0013012	0.015603
0.0013034	0.015452
0.0013079	0.015202
0.0013168	0.014945
0.0013190	0.014830
0.0013234	0.014636
0.0013323	0.014427
0.0013501	0.014374
0.0013512	0.014311
0.0013535	0.014210
0.0013579	0.014045
0.0013668	0.013869
0.0013846	0.013823
0.0013857	0.013774
0.0013879	0.013694
0.0013924	0.013565
0.0014013	0.013424
0.0014191	0.013386
0.0014202	0.013347
0.0014224	0.013285
0.0014268	0.013185
0.0014357	0.013072
0.0014535	0.013041
0.0014891	0.013038
0.0015603	0.013043
0.0017026	0.013054
0.0017737	0.013043
0.0019161	0.013053
0.0022007	0.013075
0.0022007	0.013006
0.0022185	0.012929
0.0022363	0.012893
0.0022720	0.012887
0.0023433	0.012889
0.0024859	0.012897
0.0027710	0.012917
0.0029136	0.012891
0.0029136	0.012854
0.0029529	0.012845
0.0029854	0.012835
0.0030503	0.012836
0.0031802	0.012843
0.0034401	0.012861
0.0035700	0.012837
0.0038298	0.012855
0.0038298	0.012777
0.0038871	0.012777
0.0039302	0.012771
0.0040164	0.012774
0.0041889	0.012786
0.0042752	0.012770
0.0044476	0.012783
0.0046201	0.012780
0.0046201	0.012738
0.0046647	0.012729
0.0047003	0.012720
0.0047715	0.012722
0.0049140	0.012731
0.0051991	0.012753
0.0053416	0.012725
0.0053416	0.012690
0.0053815	0.012681
0.0054149	0.012672
0.0054815	0.012673
0.0056148	0.012681
0.0058814	0.012702
0.0060147	0.012675
0.0062813	0.012695
0.0062813	0.012617
0.0063404	0.012618
0.0063857	0.012612
0.0064761	0.012616
0.0066570	0.012629
0.0067474	0.012612
0.0069283	0.012626
0.0071092	0.012623
0.0071092	0.012581
0.0071559	0.012572
0.0071932	0.012564
0.0072678	0.012565
0.0074170	0.012575
0.0077155	0.012599
0.0078647	0.012569
0.0078647	0.012533
0.0079064	0.012525
0.0079412	0.012516
0.0080106	0.012517
0.0081495	0.012526
0.0084272	0.012548
0.0085661	0.012520
0.0088438	0.012541
0.0088438	0.012463
0.0088750	0.012452
0.0089063	0.012444
0.0089688	0.012445
0.0090938	0.012453
0.0093438	0.012472
0.0094688	0.012448
0.0097188	0.012466
0.0097188	0.012395
0.0097845	0.012399
0.0098376	0.012393
0.0099436	0.012399
0.010156	0.012415
0.010262	0.012395
0.010474	0.012411
0.010686	0.012407
0.010686	0.012353
0.010701	0.012264
0.010715	0.012225
0.010744	0.012219
0.010803	0.012222
0.010919	0.012230
0.011152	0.012248
0.011269	0.012227
0.011502	0.012245
0.011502	0.012185
0.011573	0.012190
0.011634	0.012185
0.011755	0.012192
0.011816	0.012181
0.011938	0.012189
0.012182	0.012207
0.012304	0.012185
0.012547	0.012204
0.012547	0.012144
0.012583	0.012139
0.012620	0.012134
0.012692	0.012136
0.012838	0.012145
0.012911	0.012133
0.013056	0.012142
0.013347	0.012161
0.013492	0.012136
0.013492	0.012109
0.013565	0.012109
0.013621	0.012103
0.013732	0.012108
0.013955	0.012122
0.014067	0.012103
0.014290	0.012119
0.014513	0.012113
0.014513	0.012066
0.014531	0.012028
0.014549	0.012010
0.014585	0.012008
0.014658	0.012012
0.014803	0.012021
0.014875	0.012010
0.015020	0.012018
0.015310	0.012035
0.015455	0.012012
0.015527	0.012001
0.015527	0.011984
0.015599	0.011988
0.015665	0.011985
0.015795	0.011992
0.016056	0.012006
0.016186	0.011987
0.016447	0.012003
0.016447	0.011953
0.016487	0.011951
0.016527	0.011947
0.016607	0.011949
0.016767	0.011956
0.016847	0.011945
0.017007	0.011953
0.017327	0.011970
0.017487	0.011946
0.017487	0.011918
0.017527	0.011919
0.017556	0.011914
0.017613	0.011916
0.017727	0.011921
0.017956	0.011932
0.018070	0.011917
0.018298	0.011928
0.018527	0.011925
0.018527	0.011888
0.018546	0.011866
0.018565	0.011855
0.018603	0.011855
0.018679	0.011858
0.018831	0.011866
0.019135	0.011883
0.019287	0.011861
0.019591	0.011877
0.019591	0.011829
0.019632	0.011827
0.019673	0.011824
0.019755	0.011826
0.019918	0.011834
0.020245	0.011852
