crystal_rad	ht.T - (293.15[K]) (K), max_temp	Shear rate (1/s), max_shear_rate	Shear rate (1/s), avg_shear_rate
4.0000E-6	8.7763E-4	241.21	41.868
2.4000E-5	8.0088E-4	473.81	41.896
4.4000E-5	9.0379E-4	615.51	41.964
6.4000E-5	9.7633E-4	720.70	42.071
8.4000E-5	8.3409E-4	808.23	42.217
1.0400E-4	8.5681E-4	899.76	42.402
1.2400E-4	9.6832E-4	979.76	42.625
1.4400E-4	0.0010309	1044.1	42.889
1.6400E-4	9.0510E-4	1110.2	43.192
1.8400E-4	0.0010549	1162.7	43.539
2.0400E-4	0.0010743	1229.0	43.929
2.2400E-4	0.0010665	1280.2	44.366
2.4400E-4	0.0010242	1340.9	44.852
2.6400E-4	0.0010552	1392.5	45.390
2.8400E-4	0.0010709	1437.5	45.985
3.0400E-4	0.0010382	1505.3	46.641
3.2400E-4	0.0011126	1571.6	47.363
3.4400E-4	0.0010779	1633.6	48.158
3.6400E-4	0.0011251	1719.8	49.036
3.8400E-4	0.0012005	1850.8	50.009
4.0400E-4	0.0012595	1975.7	51.093
4.2400E-4	0.0012821	2202.9	52.306
4.4400E-4	0.0012683	2536.9	53.671
