crystal_rad	ht.T - (293.15[K]) (K), max_temp	Shear rate (1/s), max_shear_rate	Shear rate (1/s), avg_shear_rate
2.5000E-7	8.5794E-4	121.95	41.867
3.5000E-7	8.7133E-4	126.06	41.867
4.5000E-7	8.8318E-4	132.04	41.867
5.5000E-7	8.8850E-4	135.51	41.867
6.5000E-7	8.8108E-4	141.83	41.867
7.5000E-7	8.7462E-4	146.78	41.867
8.5000E-7	8.7754E-4	151.71	41.867
9.5000E-7	8.7739E-4	156.61	41.867
1.0500E-6	8.7819E-4	159.58	41.867
1.1500E-6	8.8669E-4	163.64	41.867
1.2500E-6	8.6148E-4	169.24	41.867
1.3500E-6	8.8540E-4	171.41	41.867
1.4500E-6	8.7575E-4	176.59	41.867
1.5500E-6	8.8353E-4	182.02	41.867
1.6500E-6	8.8336E-4	184.10	41.867
1.7500E-6	8.7752E-4	186.62	41.867
1.8500E-6	8.7860E-4	188.18	41.867
1.9500E-6	8.8323E-4	193.28	41.867
2.0500E-6	8.8212E-4	194.19	41.867
2.1500E-6	8.8273E-4	197.11	41.867
2.2500E-6	8.7658E-4	201.60	41.867
2.3500E-6	8.7428E-4	204.73	41.867
2.4500E-6	8.7633E-4	206.57	41.867
2.5500E-6	8.8093E-4	209.28	41.867
2.6500E-6	8.7818E-4	212.82	41.867
2.7500E-6	8.7356E-4	214.46	41.867
2.8500E-6	8.7756E-4	215.26	41.867
2.9500E-6	0.0011037	220.49	41.867
3.0500E-6	8.7523E-4	222.33	41.867
3.1500E-6	8.7936E-4	225.14	41.867
3.2500E-6	8.8018E-4	224.63	41.868
3.3500E-6	8.7463E-4	228.34	41.868
3.4500E-6	8.8184E-4	229.35	41.868
3.5500E-6	8.7678E-4	235.20	41.868
3.6500E-6	8.7577E-4	236.69	41.868
3.7500E-6	8.7356E-4	237.49	41.868
3.8500E-6	8.7462E-4	240.35	41.868
3.9500E-6	8.7696E-4	240.27	41.868
