crystal_rad	ht.T - (293.15[K]) (K), max_temp	Shear rate (1/s), max_shear_rate	Shear rate (1/s), avg_shear_rate
4.0000E-6	8.7821E-4	124.39	41.868
2.4000E-5	8.5779E-4	203.49	41.896
4.4000E-5	7.8464E-4	250.70	41.963
6.4000E-5	6.9368E-4	289.05	42.071
8.4000E-5	9.0588E-4	322.08	42.217
1.0400E-4	8.3115E-4	351.11	42.401
1.2400E-4	7.6381E-4	378.63	42.625
1.4400E-4	7.0256E-4	404.10	42.888
1.6400E-4	9.5735E-4	428.08	43.192
1.8400E-4	9.1362E-4	450.80	43.538
2.0400E-4	8.7109E-4	473.54	43.928
2.2400E-4	8.3139E-4	495.19	44.365
2.4400E-4	8.0230E-4	516.54	44.851
2.6400E-4	8.1364E-4	540.24	45.389
2.8400E-4	0.0010062	564.61	45.984
3.0400E-4	9.7234E-4	591.72	46.639
3.2400E-4	9.8153E-4	621.35	47.361
3.4400E-4	0.0010398	657.42	48.157
3.6400E-4	0.0011138	699.71	49.035
3.8400E-4	0.0011933	753.32	50.008
4.0400E-4	0.0012575	828.11	51.092
4.2400E-4	0.0012828	937.83	52.305
4.4400E-4	0.0012696	1115.3	53.669
